name,school_year,year,position,height,G,field_goals_made,field_goal_attempts,field_goal_percent,three_pointers_made,three_pointer_attempts,three_pointer_percent,free_throws_made,free_throws_attempts,free_throw_percent,rebounds,rebounds_average,assists,assists_average,blocks,blocks_average,steals,steals_average,points,points_average,turnovers
"Abraham, Ryann",So.,2007-08,G,5-10,31,86,177,0.486,45,97,0.464,35,50,0.700,42,1.355,60,1.935,2,0.065,29,0.935,252,8.129,65
"Archer, Jr",Fr.,2007-08,G,6-3,6,1,4,0.250,0,2,0.000,2,2,1.000,1,0.167,0,-,0,-,0,-,4,0.667,1
"Bermudez, Eduardo",Jr.,2007-08,G,6-3,31,70,157,0.446,25,68,0.368,38,54,0.704,92,2.968,33,1.065,3,0.097,26,0.839,203,6.548,56
"Booth, Jeremi",So.,2007-08,G,6-5,28,37,111,0.333,21,76,0.276,9,14,0.643,43,1.536,19,0.679,0,-,5,0.179,104,3.714,17
"Bowne, Davis",Sr.,2007-08,C,6-7,31,32,76,0.421,0,0,-,10,26,0.385,100,3.226,32,1.032,6,0.194,7,0.226,74,2.387,36
"Brand, Kellen",So.,2007-08,G,6-1,31,108,243,0.444,39,104,0.375,68,94,0.723,81,2.613,42,1.355,1,0.032,20,0.645,323,10.419,45
"Butts, Issac",Fr.,2007-08,C,6-10,20,25,47,0.532,0,0,-,7,15,0.467,57,2.850,9,0.450,5,0.250,2,0.100,57,2.850,21
"Clayton, Jeremy",Sr.,2007-08,F,6-7,31,108,189,0.571,0,5,0.000,55,94,0.585,252,8.129,64,2.065,75,2.419,31,1.000,271,8.742,76
"Highsmith, A.J.",Jr.,2007-08,G,6-4,17,11,24,0.458,6,17,0.353,1,3,0.333,8,0.471,3,0.176,0,-,0,-,29,1.706,4
"Hughes, Donterious",Fr.,2007-08,G,6-2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"McLaughlin-Williams, Douglass",Sr.,2007-08,F,6-8,29,39,99,0.394,28,77,0.364,12,24,0.500,69,2.379,24,0.828,2,0.069,14,0.483,118,4.069,30
"McMillan, Jay",Sr.,2007-08,F,6-7,8,2,4,0.500,1,3,0.333,1,2,0.500,7,0.875,0,-,0,-,0,-,6,0.750,2
"Minter, Donte",Sr.,2007-08,F,6-8,30,164,276,0.594,0,0,-,90,123,0.732,179,5.967,54,1.800,46,1.533,27,0.900,418,13.933,55
"Sims, Donald",Fr.,2007-08,G,6-1,31,97,237,0.409,67,154,0.435,94,107,0.879,56,1.806,80,2.581,5,0.161,28,0.903,355,11.452,47
"Webb, Tyler",Jr.,2007-08,F,6-9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
