name,school_year,year,position,height,G,field_goals_made,field_goal_attempts,field_goal_percent,three_pointers_made,three_pointer_attempts,three_pointer_percent,free_throws_made,free_throws_attempts,free_throw_percent,rebounds,rebounds_average,assists,assists_average,blocks,blocks_average,steals,steals_average,points,points_average,turnovers
"Batsell Parks, Ricky",Fr.,2007-08,F,6-5,24,30,95,0.316,17,62,0.274,10,22,0.455,42,1.750,10,0.417,2,0.083,9,0.375,87,3.625,14
"Byrd, William",Sr.,2007-08,F,6-7,31,150,322,0.466,20,61,0.328,62,98,0.633,212,6.839,43,1.387,74,2.387,35,1.129,382,12.323,-
"Byrd, William",Sr.,2007-08,F,6-7,31,150,322,0.466,20,61,0.328,62,98,0.633,212,6.839,43,1.387,74,2.387,35,1.129,382,12.323,74
"Calvin, Terrance",So.,2007-08,G,6-2,11,24,61,0.393,0,1,0.000,26,40,0.650,37,3.364,23,2.091,1,0.091,6,0.545,74,6.727,28
"Collier, Warren",Fr.,2007-08,G,6-4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Davis, George",So.,2007-08,F,6-6,31,58,126,0.460,2,3,0.667,19,35,0.543,96,3.097,6,0.194,15,0.484,14,0.452,137,4.419,26
"Glass, Tyree",So.,2007-08,F,6-7,21,18,58,0.310,1,6,0.167,12,31,0.387,37,1.762,9,0.429,3,0.143,5,0.238,49,2.333,17
"Goins, Marcelle",Sr.,2007-08,G,6-2,30,75,248,0.302,35,105,0.333,64,99,0.646,72,2.400,64,2.133,1,0.033,11,0.367,249,8.300,55
"Gunter, Jarvis",Sr.,2007-08,F,6-10,29,85,176,0.483,0,0,-,22,44,0.500,224,7.724,43,1.483,46,1.586,15,0.517,192,6.621,-
"Gunter, Jarvis",Sr.,2007-08,F,6-10,29,85,176,0.483,0,0,-,22,44,0.500,224,7.724,43,1.483,46,1.586,15,0.517,192,6.621,57
"Hamilton, Tim",Sr.,2007-08,G,6-3,25,27,60,0.450,2,10,0.200,13,21,0.619,73,2.920,13,0.520,3,0.120,12,0.480,69,2.760,25
"Hamilton, Tim",Sr.,2007-08,G,6-3,25,27,60,0.450,2,10,0.200,13,21,0.619,73,2.920,13,0.520,3,0.120,12,0.480,69,2.760,-
"Johnson, Tim",Fr.,2007-08,F,6-7,5,0,4,0.000,0,0,-,0,0,-,4,0.800,3,0.600,0,-,0,-,0,-,4
"Montgomery, Gavin",Fr.,2007-08,G,6-6,18,15,43,0.349,5,12,0.417,9,10,0.900,25,1.389,7,0.389,1,0.056,6,0.333,44,2.444,18
"Moore, Warren",Fr.,2007-08,G,6-2,3,0,1,0.000,0,0,-,0,0,-,1,0.333,0,-,0,-,0,-,0,-,2
"Norman, Cory",So.,2007-08,G,6-3,19,14,38,0.368,11,33,0.333,4,4,1.000,13,0.684,16,0.842,1,0.053,5,0.263,43,2.263,11
"Ootesey, Antonio",Fr.,2007-08,-,-,6,3,6,0.500,2,3,0.667,2,4,0.500,1,0.167,0,-,0,-,1,0.167,10,1.667,3
"Smith, Allen",So.,2007-08,G,5-10,30,47,131,0.359,23,77,0.299,22,34,0.647,41,1.367,42,1.400,2,0.067,12,0.400,139,4.633,39
"Tolliver, Jason",Fr.,2007-08,-,-,5,2,7,0.286,0,0,-,2,5,0.400,3,0.600,2,0.400,0,-,2,0.400,6,1.200,0
"Williams, Jamarcus",Fr.,2007-08,F,6-9,6,2,4,0.500,0,0,-,1,2,0.500,3,0.500,1,0.167,0,-,0,-,5,0.833,1
"Williams, Larry",Sr.,2007-08,G,6-3,31,138,340,0.406,47,153,0.307,60,85,0.706,99,3.194,67,2.161,1,0.032,25,0.806,383,12.355,56
