name,school_year,year,position,height,G,field_goals_made,field_goal_attempts,field_goal_percent,three_pointers_made,three_pointer_attempts,three_pointer_percent,free_throws_made,free_throws_attempts,free_throw_percent,rebounds,rebounds_average,assists,assists_average,blocks,blocks_average,steals,steals_average,points,points_average,turnovers
"Bishop, Reggie",Sr.,2007-08,G,6-3,30,123,325,0.378,71,178,0.399,57,68,0.838,126,4.200,31,1.033,1,0.033,38,1.267,374,12.467,52
"Brown, Eddie",Jr.,2007-08,F,6-9,7,10,27,0.370,2,9,0.222,3,6,0.500,14,2.000,5,0.714,3,0.429,3,0.429,25,3.571,10
"Cami, Jose",Fr.,2007-08,G,6-2,21,13,68,0.191,9,53,0.170,13,21,0.619,21,1.000,10,0.476,1,0.048,6,0.286,48,2.286,18
"Capin, Jake",Fr.,2007-08,G,6-2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Cass, Nathan",Fr.,2007-08,F,6-8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Dewey, Cole",Fr.,2007-08,G,6-2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Dodson, Preston",Fr.,2007-08,F,6-5,30,44,103,0.427,0,0,-,41,71,0.577,88,2.933,4,0.133,5,0.167,7,0.233,129,4.300,21
"Fagbenle, Oladapo",Jr.,2007-08,C,6-9,29,24,47,0.511,0,1,0.000,7,16,0.438,72,2.483,16,0.552,24,0.828,8,0.276,55,1.897,21
"Hartley, Junard",Fr.,2007-08,G,6-3,30,48,122,0.393,6,25,0.240,38,57,0.667,120,4.000,132,4.400,4,0.133,47,1.567,140,4.667,80
"Perkins, Julius",Jr.,2007-08,G,6-1,30,45,104,0.433,0,2,0.000,62,118,0.525,55,1.833,94,3.133,6,0.200,36,1.200,152,5.067,94
"Perry, Jonathan",Fr.,2007-08,G,5-9,10,3,5,0.600,3,4,0.750,2,2,1.000,1,0.100,1,0.100,0,-,0,-,11,1.100,1
"Pringle, Ruell",Sr.,2007-08,G,6-1,2,6,16,0.375,3,10,0.300,1,3,0.333,6,3.000,1,0.500,0,-,0,-,16,8.000,2
"Rodriguez, Jonathan",So.,2007-08,F,6-5,30,202,414,0.488,14,51,0.275,208,272,0.765,304,10.133,75,2.500,17,0.567,47,1.567,626,20.867,109
"Steiger, Will",Fr.,2007-08,F,6-6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Vejraska, Kyle",So.,2007-08,F,6-8,30,120,237,0.506,19,52,0.365,42,54,0.778,107,3.567,29,0.967,22,0.733,15,0.500,301,10.033,49
"Wohlfeil, Jake",Sr.,2007-08,G,6-4,27,80,223,0.359,69,180,0.383,38,44,0.864,72,2.667,58,2.148,2,0.074,18,0.667,267,9.889,38
