name,school_year,year,position,height,G,field_goals_made,field_goal_attempts,field_goal_percent,three_pointers_made,three_pointer_attempts,three_pointer_percent,free_throws_made,free_throws_attempts,free_throw_percent,rebounds,rebounds_average,assists,assists_average,blocks,blocks_average,steals,steals_average,points,points_average,turnovers
"Avery, Kit",Fr.,2007-08,G,6-2,8,0,2,0.000,0,1,0.000,0,1,0.000,4,0.500,2,0.250,0,-,0,-,0,-,0
"Baryenbruch, Jacob",Jr.,2007-08,G,6-0,33,22,75,0.293,20,70,0.286,8,11,0.727,21,0.636,25,0.758,0,-,4,0.121,72,2.182,11
"Cox, Jonathan",Jr.,2007-08,F,6-8,33,139,273,0.509,44,100,0.440,84,108,0.778,283,8.576,23,0.697,34,1.030,27,0.818,406,12.303,44
"Daniels, Ryan",So.,2007-08,G,6-1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Dirks, Tyson",Fr.,2007-08,G,6-2,8,0,1,0.000,0,0,-,0,0,-,1,0.125,0,-,0,-,0,-,0,-,0
"Eaddy, Bill",So.,2007-08,F,6-5,14,8,13,0.615,6,8,0.750,1,2,0.500,8,0.571,1,0.071,1,0.071,1,0.071,23,1.643,1
"Emmenecker, Adam",Sr.,2007-08,G,6-1,33,79,172,0.459,0,2,0.000,125,150,0.833,153,4.636,213,6.455,4,0.121,53,1.606,283,8.576,103
"Hall, John Michael",Jr.,2007-08,G,6-5,33,47,111,0.423,6,23,0.261,15,19,0.789,37,1.121,19,0.576,1,0.030,16,0.485,115,3.485,34
"Heemskerk, Brent",Jr.,2007-08,F,6-7,33,69,100,0.690,0,3,0.000,17,36,0.472,109,3.303,21,0.636,28,0.848,25,0.758,155,4.697,19
"Houston, Leonard",Sr.,2007-08,G,6-1,33,156,370,0.422,55,160,0.344,99,129,0.767,147,4.455,60,1.818,8,0.242,47,1.424,466,14.121,64
"Korver, Klayton",Sr.,2007-08,F,6-5,33,111,300,0.370,83,243,0.342,37,43,0.860,130,3.939,38,1.152,3,0.091,23,0.697,342,10.364,-
"Korver, Klayton",Sr.,2007-08,F,6-5,33,111,300,0.370,83,243,0.342,37,43,0.860,130,3.939,38,1.152,3,0.091,23,0.697,342,10.364,23
"Parker, Josh",Fr.,2007-08,G,6-0,31,23,63,0.365,10,32,0.313,8,12,0.667,30,0.968,27,0.871,1,0.032,7,0.226,64,2.065,29
"White, Alex",Jr.,2007-08,F,6-6,10,15,28,0.536,0,0,-,7,18,0.389,29,2.900,3,0.300,3,0.300,7,0.700,37,3.700,10
"Young, Josh",So.,2007-08,G,6-1,30,147,321,0.458,86,198,0.434,97,127,0.764,75,2.500,53,1.767,2,0.067,42,1.400,477,15.900,50
