name,school_year,year,position,height,G,field_goals_made,field_goal_attempts,field_goal_percent,three_pointers_made,three_pointer_attempts,three_pointer_percent,free_throws_made,free_throws_attempts,free_throw_percent,rebounds,rebounds_average,assists,assists_average,blocks,blocks_average,steals,steals_average,points,points_average,turnovers
"Aminu, Alade",Jr.,2007-08,F,6-9,32,80,147,0.544,0,1,0.000,31,51,0.608,132,4.125,18,0.563,29,0.906,16,0.500,191,5.969,32
"Anderson, Ty",So.,2007-08,G,6-3,1,1,2,0.500,0,0,-,0,0,-,2,2.000,0,-,0,-,0,-,2,2.000,0
"Bell, D'Andre",Jr.,2007-08,G,6-5,32,81,170,0.476,9,31,0.290,40,51,0.784,66,2.063,61,1.906,7,0.219,43,1.344,211,6.594,59
"Cage, Gary",Jr.,2007-08,G,6-0,1,0,1,0.000,0,1,0.000,0,0,-,0,-,1,1.000,0,-,0,-,0,-,0
"Causey, Matt",Sr.,2007-08,G,6-0,30,72,171,0.421,36,85,0.424,37,49,0.755,45,1.500,111,3.700,1,0.033,29,0.967,217,7.233,72
"Clinch, Lewis",Jr.,2007-08,G,6-3,32,105,264,0.398,44,132,0.333,33,51,0.647,62,1.938,42,1.313,4,0.125,19,0.594,287,8.969,64
"Dickey, Ra'Sean",Sr.,2007-08,C,6-9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Faye, Mouhammad",So.,2007-08,F,6-8,5,5,18,0.278,0,4,0.000,1,2,0.500,7,1.400,2,0.400,0,-,1,0.200,11,2.200,6
"Lawal, Gani",Fr.,2007-08,F,6-8,32,90,158,0.570,0,1,0.000,49,99,0.495,113,3.531,9,0.281,32,1.000,12,0.375,229,7.156,54
"Miller, Maurice",Fr.,2007-08,G,6-2,29,68,155,0.439,27,68,0.397,73,91,0.802,67,2.310,96,3.310,2,0.069,36,1.241,236,8.138,59
"Morrow, Anthony",Sr.,2007-08,G,6-5,32,154,336,0.458,81,181,0.448,67,78,0.859,130,4.063,34,1.063,10,0.313,36,1.125,456,14.250,33
"Peacock, Zach",So.,2007-08,F,6-7,27,99,197,0.503,12,40,0.300,58,72,0.806,106,3.926,27,1.000,12,0.444,24,0.889,268,9.926,37
"Sheehan, Brad",So.,2007-08,C,6-10,12,4,10,0.400,0,0,-,3,4,0.750,13,1.083,5,0.417,3,0.250,3,0.250,11,0.917,8
"Smith, Jeremis",Sr.,2007-08,F,6-6,32,116,212,0.547,1,7,0.143,104,159,0.654,227,7.094,61,1.906,12,0.375,45,1.406,337,10.531,52
"Storrs, Lance",Fr.,2007-08,G,6-4,25,8,32,0.250,4,24,0.167,6,9,0.667,19,0.760,13,0.520,0,-,1,0.040,26,1.040,10
