name,school_year,year,position,height,G,field_goals_made,field_goal_attempts,field_goal_percent,three_pointers_made,three_pointer_attempts,three_pointer_percent,free_throws_made,free_throws_attempts,free_throw_percent,rebounds,rebounds_average,assists,assists_average,blocks,blocks_average,steals,steals_average,points,points_average,turnovers
"Baptist, Billy",So.,2007-08,F,6-5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Boyd, Tori",Fr.,2007-08,F,6-5,30,39,110,0.355,12,45,0.267,37,46,0.804,53,1.767,23,0.767,6,0.200,13,0.433,127,4.233,47
"Bush, Robert",Sr.,2007-08,G,6-4,28,70,194,0.361,36,99,0.364,32,41,0.780,86,3.071,30,1.071,4,0.143,15,0.536,208,7.429,31
"Buttell, Jeremy",So.,2007-08,F,6-7,33,49,104,0.471,7,27,0.259,18,27,0.667,145,4.394,17,0.515,11,0.333,13,0.394,123,3.727,31
"Dailey, Jermaine",Sr.,2007-08,C,6-7,33,76,121,0.628,0,0,-,32,53,0.604,151,4.576,8,0.242,29,0.879,19,0.576,184,5.576,31
"Harding, Jimmy",Fr.,2007-08,-,-,5,0,5,0.000,0,1,0.000,0,4,0.000,0,-,1,0.200,0,-,2,0.400,0,-,1
"Huerta, Humberto",Fr.,2007-08,-,-,2,0,0,-,0,0,-,0,0,-,0,-,0,-,0,-,0,-,0,-,0
"Ignjatovic, Jovan",So.,2007-08,F,6-9,29,25,61,0.410,1,9,0.111,14,18,0.778,42,1.448,3,0.103,8,0.276,8,0.276,65,2.241,11
"Kreps, Robert",Fr.,2007-08,G,6-0,33,92,189,0.487,49,106,0.462,35,47,0.745,73,2.212,45,1.364,1,0.030,27,0.818,268,8.121,40
"Mayo, Josh",Jr.,2007-08,G,5-11,33,174,379,0.459,94,200,0.470,122,145,0.841,84,2.545,106,3.212,0,-,40,1.212,564,17.091,83
"Noonoo, Ebenezer",Jr.,2007-08,F,6-4,5,1,6,0.167,0,1,0.000,0,0,-,1,0.200,1,0.200,1,0.200,3,0.600,2,0.400,1
"Stewart, Spencer",So.,2007-08,G,6-4,27,48,146,0.329,26,79,0.329,25,40,0.625,69,2.556,114,4.222,4,0.148,27,1.000,147,5.444,71
"Tkaczuk, Alex",Fr.,2007-08,-,-,5,0,1,0.000,0,1,0.000,0,0,-,4,0.800,0,-,0,-,0,-,0,-,1
"VanderMeer, Scott",Jr.,2007-08,C,7-0,33,125,280,0.446,0,1,0.000,57,83,0.687,247,7.485,37,1.121,85,2.576,18,0.545,307,9.303,27
"White, Karl",Sr.,2007-08,F,6-2,31,97,208,0.466,12,37,0.324,45,75,0.600,61,1.968,52,1.677,6,0.194,26,0.839,251,8.097,55
