name,school_year,year,position,height,G,field_goals_made,field_goal_attempts,field_goal_percent,three_pointers_made,three_pointer_attempts,three_pointer_percent,free_throws_made,free_throws_attempts,free_throw_percent,rebounds,rebounds_average,assists,assists_average,blocks,blocks_average,steals,steals_average,points,points_average,turnovers
"Block, Adam",Fr.,2007-08,G,6-1,4,0,0,-,0,0,-,0,0,-,1,0.250,0,-,0,-,0,-,0,-,0
"Coleman, Ron",Sr.,2007-08,F,6-6,30,54,143,0.378,23,73,0.315,14,22,0.636,97,3.233,39,1.300,4,0.133,7,0.233,145,4.833,31
"Gibson, Zack",Jr.,2007-08,C,6-10,32,68,141,0.482,12,45,0.267,26,36,0.722,88,2.750,11,0.344,22,0.688,13,0.406,174,5.438,25
"Grady, Kelvin",Fr.,2007-08,G,5-11,32,60,149,0.403,33,92,0.359,25,30,0.833,61,1.906,90,2.813,1,0.031,18,0.563,178,5.563,42
"Harris, Manny",Fr.,2007-08,G,6-5,32,159,417,0.381,42,132,0.318,156,191,0.817,135,4.219,86,2.688,7,0.219,45,1.406,516,16.125,115
"Lee, C.J.",Sr.,2007-08,G,6-0,32,24,72,0.333,13,45,0.289,6,8,0.750,44,1.375,41,1.281,0,-,24,0.750,67,2.094,20
"Merritt, David",Sr.,2007-08,G,5-10,20,10,26,0.385,7,14,0.500,4,7,0.571,27,1.350,17,0.850,0,-,3,0.150,31,1.550,11
"Morris, K'Len",So.,2007-08,G,6-4,11,8,25,0.320,5,16,0.313,3,5,0.600,12,1.091,5,0.455,0,-,3,0.273,24,2.182,10
"Puls, Eric",Fr.,2007-08,F,6-10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Shepherd, Jevohn",Jr.,2007-08,F,6-5,31,41,98,0.418,5,27,0.185,21,44,0.477,56,1.806,17,0.548,4,0.129,12,0.387,108,3.484,21
"Sims, DeShawn",So.,2007-08,F,6-8,32,149,377,0.395,43,142,0.303,54,78,0.692,173,5.406,29,0.906,24,0.750,31,0.969,395,12.344,60
"Smith, Jerret",Jr.,2007-08,G,6-3,5,6,10,0.600,4,6,0.667,4,4,1.000,10,2.000,6,1.200,1,0.200,2,0.400,20,4.000,6
"Udoh, Ekpe",So.,2007-08,F,6-10,32,76,174,0.437,6,16,0.375,33,56,0.589,160,5.000,29,0.906,92,2.875,27,0.844,191,5.969,36
"Wright, Anthony",So.,2007-08,F,6-6,31,54,164,0.329,35,123,0.285,14,29,0.483,102,3.290,20,0.645,5,0.161,14,0.452,157,5.065,28
