name,school_year,year,position,height,G,field_goals_made,field_goal_attempts,field_goal_percent,three_pointers_made,three_pointer_attempts,three_pointer_percent,free_throws_made,free_throws_attempts,free_throw_percent,rebounds,rebounds_average,assists,assists_average,blocks,blocks_average,steals,steals_average,points,points_average,turnovers
"Avery, Darren",So.,2007-08,G,6-4,32,24,68,0.353,8,25,0.320,14,25,0.560,44,1.375,13,0.406,0,-,9,0.281,70,2.188,23
"Boyd, Antwaun",Fr.,2007-08,G,6-2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Gilchrest, Broderick",Fr.,2007-08,G,6-0,32,19,71,0.268,6,41,0.146,15,24,0.625,25,0.781,18,0.563,1,0.031,18,0.563,59,1.844,28
"Green, Demetrius",Jr.,2007-08,G,6-4,32,141,301,0.468,29,78,0.372,90,127,0.709,146,4.563,62,1.938,6,0.188,33,1.031,401,12.531,76
"Hair, Dino",So.,2007-08,F,6-9,32,39,98,0.398,3,20,0.150,40,52,0.769,67,2.094,19,0.594,13,0.406,10,0.313,121,3.781,40
"Hethington, Uriah",Jr.,2007-08,F,6-8,15,15,37,0.405,0,0,-,6,13,0.462,19,1.267,2,0.133,1,0.067,7,0.467,36,2.400,3
"Hopson, John",So.,2007-08,G,5-10,5,0,2,0.000,0,0,-,0,0,-,1,0.200,0,-,0,-,0,-,0,-,1
"Hudson, Theryn",Jr.,2007-08,C,6-10,29,108,167,0.647,0,0,-,47,87,0.540,158,5.448,14,0.483,24,0.828,11,0.379,263,9.069,48
"Johnson, Nigel",Jr.,2007-08,G,6-2,32,79,190,0.416,31,75,0.413,46,63,0.730,127,3.969,110,3.438,6,0.188,32,1.000,235,7.344,75
"Kanaskie, Kevin",Jr.,2007-08,G,6-2,32,98,260,0.377,61,163,0.374,116,146,0.795,129,4.031,106,3.313,0,-,39,1.219,373,11.656,84
"O'Neil, Calvin",Jr.,2007-08,G,6-4,1,2,4,0.500,0,0,-,6,8,0.750,4,4.000,0,-,0,-,1,1.000,10,10.000,0
"Powell, Dexter",Jr.,2007-08,F,6-5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Sain, Josh",Fr.,2007-08,G,6-5,15,40,93,0.430,17,47,0.362,4,10,0.400,38,2.533,14,0.933,1,0.067,10,0.667,101,6.733,22
"Yates, Desmond",So.,2007-08,F,6-7,32,200,348,0.575,20,39,0.513,91,113,0.805,141,4.406,30,0.938,18,0.563,20,0.625,511,15.969,50
