name,school_year,year,position,height,G,field_goals_made,field_goal_attempts,field_goal_percent,three_pointers_made,three_pointer_attempts,three_pointer_percent,free_throws_made,free_throws_attempts,free_throw_percent,rebounds,rebounds_average,assists,assists_average,blocks,blocks_average,steals,steals_average,points,points_average,turnovers
"Burleson, Lyndale",Jr.,2007-08,G,6-3,23,22,58,0.379,13,39,0.333,5,14,0.357,27,1.174,54,2.348,5,0.217,16,0.696,62,2.696,26
"Carp, Adam",Fr.,2007-08,F,6-7,8,0,3,0.000,0,0,-,2,4,0.500,2,0.250,0,-,0,-,0,-,2,0.250,1
"Cooke, Malik",Fr.,2007-08,F,6-5,33,26,54,0.481,2,12,0.167,25,38,0.658,96,2.909,17,0.515,13,0.394,12,0.364,79,2.394,24
"Ellis, David",Sr.,2007-08,C,7-1,33,36,80,0.450,3,15,0.200,13,14,0.929,73,2.212,17,0.515,15,0.455,2,0.061,88,2.667,18
"Fields, Brandon",So.,2007-08,G,6-4,33,135,305,0.443,54,141,0.383,86,102,0.843,80,2.424,79,2.394,10,0.303,21,0.636,410,12.424,58
"Johnson, Armon",Fr.,2007-08,G,6-3,33,134,278,0.482,28,81,0.346,83,107,0.776,133,4.030,111,3.364,7,0.212,25,0.758,379,11.485,78
"Johnson, Demarshay",Sr.,2007-08,F,6-9,33,87,162,0.537,0,1,0.000,42,71,0.592,153,4.636,35,1.061,32,0.970,18,0.545,216,6.545,41
"Kemp, Marcelus",Sr.,2007-08,G,6-5,33,222,494,0.449,70,184,0.380,145,168,0.863,179,5.424,109,3.303,10,0.303,23,0.697,659,19.970,81
"Kraemer, Ray",So.,2007-08,G,6-4,32,19,37,0.514,11,23,0.478,3,4,0.750,21,0.656,11,0.344,6,0.188,4,0.125,52,1.625,9
"LaGrone, Matt",So.,2007-08,F,6-8,32,27,37,0.730,0,0,-,14,22,0.636,98,3.063,19,0.594,1,0.031,9,0.281,68,2.125,37
"Lynch, Curry",Sr.,2007-08,G,6-1,9,1,5,0.200,0,0,-,1,5,0.200,4,0.444,2,0.222,0,-,2,0.222,3,0.333,3
"McGee, JaVale",So.,2007-08,F,6-11,33,189,357,0.529,14,42,0.333,74,141,0.525,242,7.333,20,0.606,92,2.788,26,0.788,466,14.121,80
"Phillips, Richie",So.,2007-08,F,6-7,4,2,5,0.400,0,0,-,0,0,-,5,1.250,1,0.250,1,0.250,0,-,4,1.000,2
