name,school_year,year,position,height,G,field_goals_made,field_goal_attempts,field_goal_percent,three_pointers_made,three_pointer_attempts,three_pointer_percent,free_throws_made,free_throws_attempts,free_throw_percent,rebounds,rebounds_average,assists,assists_average,blocks,blocks_average,steals,steals_average,points,points_average,turnovers
"Danridge, Tony",Sr.,2007-08,G,6-5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Faris, Daniel",Jr.,2007-08,F,6-9,33,123,243,0.506,0,1,0.000,59,111,0.532,150,4.545,25,0.758,21,0.636,18,0.545,305,9.242,42
"Gary, Dairese",Fr.,2007-08,G,6-1,33,81,182,0.445,27,69,0.391,68,92,0.739,75,2.273,105,3.182,1,0.030,44,1.333,257,7.788,71
"Giddens, J.R.",Sr.,2007-08,G,6-5,33,210,407,0.516,25,75,0.333,92,157,0.586,290,8.788,103,3.121,39,1.182,47,1.424,537,16.273,73
"Harris, Johnnie",Jr.,2007-08,F,6-8,33,40,63,0.635,0,0,-,10,24,0.417,62,1.879,13,0.394,4,0.121,6,0.182,90,2.727,22
"Martinez, Roman",So.,2007-08,F,6-6,33,80,171,0.468,29,69,0.420,42,58,0.724,128,3.879,65,1.970,6,0.182,31,0.939,231,7.000,36
"Pegues, Monquel",Jr.,2007-08,F,6-10,33,18,75,0.240,0,0,-,26,46,0.565,82,2.485,3,0.091,6,0.182,5,0.152,62,1.879,28
"Prentice, Darren",Sr.,2007-08,G,6-1,32,72,181,0.398,44,117,0.376,35,48,0.729,52,1.625,75,2.344,3,0.094,21,0.656,223,6.969,38
"Smith, Jamaal",Sr.,2007-08,G,5-9,33,81,166,0.488,38,78,0.487,92,117,0.786,70,2.121,61,1.848,2,0.061,13,0.394,292,8.848,45
"Toppert, Chad",Jr.,2007-08,G,6-7,33,107,228,0.469,85,177,0.480,42,53,0.792,104,3.152,48,1.455,5,0.152,10,0.303,341,10.333,24
"Wills, Jonathan",Fr.,2007-08,G,6-5,32,35,101,0.347,23,60,0.383,15,24,0.625,31,0.969,39,1.219,1,0.031,12,0.375,108,3.375,21
