name,school_year,year,position,height,G,field_goals_made,field_goal_attempts,field_goal_percent,three_pointers_made,three_pointer_attempts,three_pointer_percent,free_throws_made,free_throws_attempts,free_throw_percent,rebounds,rebounds_average,assists,assists_average,blocks,blocks_average,steals,steals_average,points,points_average,turnovers
"Beard, Clayton",Fr.,2007-08,G,6-4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Costner, Brandon",So.,2007-08,F,6-9,30,75,207,0.362,32,105,0.305,74,90,0.822,138,4.600,61,2.033,20,0.667,8,0.267,256,8.533,76
"Degand, Farnold",So.,2007-08,G,6-4,10,24,51,0.471,8,16,0.500,13,26,0.500,32,3.200,29,2.900,5,0.500,6,0.600,69,6.900,19
"Fells, Courtney",Jr.,2007-08,G,6-5,31,114,245,0.465,54,140,0.386,48,59,0.814,87,2.806,37,1.194,20,0.645,26,0.839,330,10.645,51
"Ferguson, Trevor",So.,2007-08,G,6-5,17,18,47,0.383,14,35,0.400,11,13,0.846,12,0.706,6,0.353,2,0.118,3,0.176,61,3.588,9
"Gonzalez, Javier",Fr.,2007-08,G,6-0,31,37,112,0.330,23,81,0.284,20,31,0.645,57,1.839,65,2.097,1,0.032,32,1.032,117,3.774,54
"Grant, Gavin",Sr.,2007-08,F,6-8,31,125,271,0.461,32,82,0.390,124,163,0.761,138,4.452,91,2.935,18,0.581,25,0.806,406,13.097,75
"Harris, Simon",Jr.,2007-08,F,6-5,16,5,7,0.714,0,1,0.000,0,0,-,16,1.000,4,0.250,2,0.125,2,0.125,10,0.625,4
"Hickson, J.J.",Fr.,2007-08,F,6-9,31,163,276,0.591,0,1,0.000,132,195,0.677,262,8.452,31,1.000,47,1.516,22,0.710,458,14.774,83
"Horner, Dennis",So.,2007-08,F,6-8,26,27,71,0.380,8,28,0.286,21,33,0.636,31,1.192,14,0.538,8,0.308,9,0.346,83,3.192,18
"Johnson, Marques",So.,2007-08,G,6-5,21,14,37,0.378,5,16,0.313,8,14,0.571,33,1.571,26,1.238,4,0.190,6,0.286,41,1.952,30
"McCauley, Ben",Jr.,2007-08,F,6-10,31,74,168,0.440,0,0,-,41,55,0.745,115,3.710,45,1.452,13,0.419,15,0.484,189,6.097,50
"Smith, Tracy",Fr.,2007-08,F,6-7,20,22,42,0.524,0,0,-,22,36,0.611,31,1.550,2,0.100,3,0.150,3,0.150,66,3.300,7
"Thomas, Johnny",Fr.,2007-08,G,6-5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Williams, Chad",Sr.,2007-08,G,6-3,1,0,0,-,0,0,-,0,0,-,0,-,0,-,0,-,0,-,0,-,0
