name,school_year,year,position,height,G,field_goals_made,field_goal_attempts,field_goal_percent,three_pointers_made,three_pointer_attempts,three_pointer_percent,free_throws_made,free_throws_attempts,free_throw_percent,rebounds,rebounds_average,assists,assists_average,blocks,blocks_average,steals,steals_average,points,points_average,turnovers
"Adams, Martavius",Fr.,2007-08,F,6-8,30,34,79,0.430,0,0,-,24,33,0.727,63,2.100,4,0.133,5,0.167,12,0.400,92,3.067,22
"Anderson, James",Fr.,2007-08,G,6-6,33,148,340,0.435,67,177,0.379,75,105,0.714,123,3.727,35,1.061,16,0.485,26,0.788,438,13.273,65
"Brown, Anthony",Jr.,2007-08,F,6-6,14,24,53,0.453,1,7,0.143,14,26,0.538,42,3.000,4,0.286,6,0.429,3,0.214,63,4.500,6
"Dove, Marcus",Sr.,2007-08,G,6-9,33,113,261,0.433,26,83,0.313,62,95,0.653,187,5.667,41,1.242,37,1.121,62,1.879,314,9.515,57
"Eaton, Byron",Jr.,2007-08,G,5-11,33,101,249,0.406,35,95,0.368,141,178,0.792,108,3.273,116,3.515,10,0.303,69,2.091,378,11.455,74
"Garrett, Brad",So.,2007-08,G,6-5,2,2,7,0.286,1,5,0.200,0,1,0.000,3,1.500,0,-,0,-,0,-,5,2.500,0
"Harris, Terrel",Jr.,2007-08,G,6-5,33,118,289,0.408,33,119,0.277,79,95,0.832,140,4.242,47,1.424,6,0.182,48,1.455,348,10.545,88
"Hatch, Tyler",Sr.,2007-08,F,6-6,22,6,13,0.462,5,12,0.417,0,0,-,21,0.955,5,0.227,1,0.045,4,0.182,17,0.773,7
"Moses, Marshall",Fr.,2007-08,F,6-6,23,14,27,0.519,2,6,0.333,4,8,0.500,19,0.826,2,0.087,5,0.217,2,0.087,34,1.478,6
"Muonelo, Obi",So.,2007-08,G,6-5,33,108,269,0.401,53,154,0.344,55,83,0.663,110,3.333,64,1.939,2,0.061,26,0.788,324,9.818,83
"Shaw, Andy",Fr.,2007-08,G,6-1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Sidorakis, Nick",Fr.,2007-08,G,6-4,29,16,37,0.432,6,16,0.375,5,8,0.625,17,0.586,29,1.000,1,0.034,8,0.276,43,1.483,26
"Thomas, Ibrahima",Fr.,2007-08,C,6-11,33,78,155,0.503,11,34,0.324,32,55,0.582,136,4.121,7,0.212,16,0.485,13,0.394,199,6.030,37
"Warner, Scott",Fr.,2007-08,C,6-11,1,1,1,1.000,0,0,-,0,0,-,0,-,0,-,0,-,0,-,2,2.000,0
