name,school_year,year,position,height,G,field_goals_made,field_goal_attempts,field_goal_percent,three_pointers_made,three_pointer_attempts,three_pointer_percent,free_throws_made,free_throws_attempts,free_throw_percent,rebounds,rebounds_average,assists,assists_average,blocks,blocks_average,steals,steals_average,points,points_average,turnovers
"Bjornstad, Kyle",Jr.,2007-08,G,5-9,3,0,0,-,0,0,-,2,2,1.000,0,-,0,-,0,-,0,-,2,0.667,0
"Carter, Sean",Fr.,2007-08,F,6-9,29,43,102,0.422,0,0,-,11,41,0.268,82,2.828,6,0.207,15,0.517,16,0.552,97,3.345,35
"Claitt, Ricky",Jr.,2007-08,G,6-2,31,28,85,0.329,3,29,0.103,35,45,0.778,50,1.613,69,2.226,0,-,6,0.194,94,3.032,40
"Giles, C.J.",Jr.,2007-08,F,6-11,10,25,59,0.424,1,7,0.143,12,18,0.667,56,5.600,4,0.400,16,1.600,3,0.300,63,6.300,15
"Hampton, Calvin",So.,2007-08,F,6-10,29,40,97,0.412,0,0,-,17,20,0.850,77,2.655,4,0.138,8,0.276,3,0.103,97,3.345,26
"Haynes, Calvin",Fr.,2007-08,G,6-2,31,63,180,0.350,16,59,0.271,27,35,0.771,42,1.355,39,1.258,0,-,16,0.516,169,5.452,44
"Johnson, Omari",Fr.,2007-08,F,6-7,23,60,153,0.392,17,55,0.309,30,45,0.667,99,4.304,10,0.435,11,0.478,8,0.348,167,7.261,28
"Jones, Marcel",Sr.,2007-08,F,6-8,30,121,339,0.357,36,114,0.316,33,59,0.559,170,5.667,32,1.067,12,0.400,21,0.700,311,10.367,42
"McConnell, Joey",Jr.,2007-08,G,6-4,8,3,14,0.214,0,3,0.000,2,2,1.000,7,0.875,7,0.875,0,-,5,0.625,8,1.000,4
"Schaftenaar, Roeland",So.,2007-08,F,6-11,31,55,126,0.437,12,47,0.255,22,36,0.611,126,4.065,19,0.613,15,0.484,15,0.484,144,4.645,22
"Stovall, Michael",Fr.,2007-08,G,6-5,7,3,8,0.375,0,1,0.000,0,2,0.000,5,0.714,2,0.286,0,-,5,0.714,6,0.857,1
"Tarver, Seth",So.,2007-08,F,6-5,31,107,273,0.392,40,119,0.336,44,72,0.611,144,4.645,53,1.710,7,0.226,26,0.839,298,9.613,45
"Tarver, Josh",So.,2007-08,G,6-3,31,73,226,0.323,16,75,0.213,46,64,0.719,66,2.129,75,2.419,3,0.097,37,1.194,208,6.710,62
"Wallace, Lathen",So.,2007-08,G,6-3,26,63,170,0.371,27,71,0.380,41,55,0.745,47,1.808,7,0.269,3,0.115,7,0.269,194,7.462,24
