name,school_year,year,position,height,G,field_goals_made,field_goal_attempts,field_goal_percent,three_pointers_made,three_pointer_attempts,three_pointer_percent,free_throws_made,free_throws_attempts,free_throw_percent,rebounds,rebounds_average,assists,assists_average,blocks,blocks_average,steals,steals_average,points,points_average,turnovers
"Battle, Talor",Fr.,2007-08,G,5-11,31,106,307,0.345,48,169,0.284,57,83,0.687,107,3.452,99,3.194,4,0.129,40,1.290,317,10.226,70
"Brooks, Jeff",Fr.,2007-08,F,6-8,31,41,101,0.406,4,16,0.250,11,31,0.355,80,2.581,28,0.903,9,0.290,10,0.323,97,3.129,26
"Claxton, Geary",Sr.,2007-08,F,6-5,16,104,210,0.495,21,58,0.362,51,92,0.554,134,8.375,38,2.375,12,0.750,14,0.875,280,17.500,42
"Cornley, Jamelle",Jr.,2007-08,F,6-5,25,122,241,0.506,2,10,0.200,56,94,0.596,149,5.960,47,1.880,4,0.160,21,0.840,302,12.080,55
"Hassell, Brandon",Sr.,2007-08,F,6-11,30,31,70,0.443,0,1,0.000,21,36,0.583,95,3.167,12,0.400,10,0.333,17,0.567,83,2.767,16
"Highberger, Adam",Fr.,2007-08,G,6-2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Jackson, David",Fr.,2007-08,-,6-6,31,51,126,40.476,12,31,38.710,65,88,73.864,111,3.581,20,0.645,8,0.258,15,0.484,179,5.774,14
"Jones, Andrew",Fr.,2007-08,-,-,31,47,91,0.516,0,0,-,31,51,0.608,116,3.742,11,0.355,8,0.258,8,0.258,125,4.032,31
"Jones III, Andrew",Fr.,2007-08,F,6-9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"King, Schyler",Jr.,2007-08,F,6-6,13,5,19,0.263,3,15,0.200,0,3,0.000,14,1.077,2,0.154,1,0.077,3,0.231,13,1.000,0
"Kirkpatrick, Steve",Fr.,2007-08,F,6-5,4,0,0,-,0,0,-,0,0,-,1,0.250,0,-,0,-,0,-,0,-,0
"Leiner, Will",Jr.,2007-08,G,6-1,4,2,2,1.000,1,1,1.000,0,0,-,0,-,1,0.250,0,-,1,0.250,5,1.250,0
"Morrissey, Danny",Jr.,2007-08,G,6-3,31,80,198,0.404,58,157,0.369,18,23,0.783,60,1.935,48,1.548,3,0.097,13,0.419,236,7.613,33
"Obradovic, Nikola",Jr.,2007-08,G,6-4,4,0,5,0.000,0,2,0.000,0,0,-,3,0.750,0,-,0,-,0,-,0,-,2
"Pringle, Stanley",Jr.,2007-08,G,6-1,31,75,204,0.368,36,88,0.409,27,38,0.711,75,2.419,72,2.323,2,0.065,29,0.935,213,6.871,58
"Suotamo, Joonas",Jr.,2007-08,F,6-10,5,0,3,0.000,0,0,-,0,0,-,4,0.800,0,-,2,0.400,1,0.200,0,-,4
"Walker, Mike",Sr.,2007-08,G,6-2,31,59,154,0.383,42,120,0.350,9,17,0.529,17,0.548,34,1.097,3,0.097,7,0.226,169,5.452,14
