name,school_year,year,position,height,G,field_goals_made,field_goal_attempts,field_goal_percent,three_pointers_made,three_pointer_attempts,three_pointer_percent,free_throws_made,free_throws_attempts,free_throw_percent,rebounds,rebounds_average,assists,assists_average,blocks,blocks_average,steals,steals_average,points,points_average,turnovers
"Armstrong, Rashaad",So.,2007-08,C,6-9,20,9,17,0.529,0,0,-,6,13,0.462,18,0.900,1,0.050,3,0.150,8,0.400,24,1.200,6
"Belton, Andrae",Sr.,2007-08,G,6-3,30,44,98,0.449,21,46,0.457,8,16,0.500,65,2.167,21,0.700,5,0.167,19,0.633,117,3.900,8
"Cox, Darius",Fr.,2007-08,F,6-7,32,89,140,0.636,0,3,0.000,25,42,0.595,145,4.531,28,0.875,29,0.906,25,0.781,203,6.344,24
"Craft, James",So.,2007-08,C,7-0,25,14,34,0.412,0,0,-,1,3,0.333,39,1.560,7,0.280,11,0.440,0,-,29,1.160,9
"Ervin, Reiley",Sr.,2007-08,G,5-10,32,69,144,0.479,38,89,0.427,12,33,0.364,69,2.156,103,3.219,1,0.031,47,1.469,188,5.875,55
"Evans, Stephen",Jr.,2007-08,F,6-9,25,17,36,0.472,0,0,-,1,4,0.250,33,1.320,2,0.080,4,0.160,1,0.040,35,1.400,6
"Gaiter, Emmanuel",Jr.,2007-08,G,6-4,3,1,2,0.500,0,0,-,0,2,0.000,2,0.667,0,-,0,-,0,-,2,0.667,2
"Houston, Jerrell",Jr.,2007-08,F,6-8,32,145,297,0.488,5,19,0.263,76,105,0.724,195,6.094,63,1.969,36,1.125,49,1.531,371,11.594,99
"Ivy, Moraye",Sr.,2007-08,F,6-5,22,22,61,0.361,12,37,0.324,11,15,0.733,43,1.955,16,0.727,5,0.227,14,0.636,67,3.045,9
"Jordan, Cameron",Fr.,2007-08,-,-,1,0,0,-,0,0,-,0,0,-,0,-,0,-,0,-,0,-,0,-,0
"Price, Bruce",Jr.,2007-08,G,6-3,32,160,395,0.405,54,166,0.325,188,268,0.701,151,4.719,160,5.000,2,0.063,71,2.219,562,17.563,128
"Robinson, Jr, Gerald",Fr.,2007-08,G,6-0,32,187,403,0.464,60,178,0.337,52,71,0.732,87,2.719,41,1.281,4,0.125,53,1.656,486,15.188,55
"Taylor, Dontrell",Fr.,2007-08,-,-,16,17,31,0.548,0,0,-,16,23,0.696,24,1.500,0,-,8,0.500,0,-,50,3.125,14
"Weaver, Dontrell",Fr.,2007-08,F,6-8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Weaver, LaDarious",Sr.,2007-08,G,6-0,32,89,207,0.430,72,161,0.447,20,22,0.909,64,2.000,34,1.063,1,0.031,16,0.500,270,8.438,28
