name,school_year,year,position,height,G,field_goals_made,field_goal_attempts,field_goal_percent,three_pointers_made,three_pointer_attempts,three_pointer_percent,free_throws_made,free_throws_attempts,free_throw_percent,rebounds,rebounds_average,assists,assists_average,blocks,blocks_average,steals,steals_average,points,points_average,turnovers
"Bowles, Denzel",Fr.,2007-08,F,6-10,8,3,6,0.500,0,0,-,1,1,1.000,6,0.750,2,0.250,1,0.125,0,-,7,0.875,2
"Carrell, Marshall",Fr.,2007-08,F,6-8,2,1,1,1.000,0,0,-,0,1,0.000,0,-,0,-,1,0.500,0,-,2,1.000,0
"Carter, Josh",Jr.,2007-08,F,6-7,36,146,347,0.421,79,208,0.380,69,84,0.821,142,3.944,50,1.389,6,0.167,21,0.583,440,12.222,28
"Chapman, Chris",So.,2007-08,G,5-11,3,0,1,0.000,0,0,-,0,0,-,0,-,1,0.333,0,-,0,-,0,-,0
"Darko, Andrew",Fr.,2007-08,G,6-0,5,0,0,-,0,0,-,1,3,0.333,0,-,1,0.200,0,-,0,-,1,0.200,0
"Davis, Bryan",So.,2007-08,F,6-9,36,117,220,0.532,1,2,0.500,78,130,0.600,178,4.944,46,1.278,37,1.028,35,0.972,313,8.694,72
"Elonu, Chinemelu",So.,2007-08,C,6-10,34,35,66,0.530,0,0,-,21,41,0.512,103,3.029,6,0.176,16,0.471,3,0.088,91,2.676,29
"Graham, Bryson",Jr.,2007-08,G,6-3,14,2,8,0.250,1,6,0.167,4,6,0.667,1,0.071,0,-,0,-,0,-,9,0.643,5
"Holmes, B.J.",Fr.,2007-08,G,6-0,29,20,49,0.408,14,35,0.400,5,10,0.500,22,0.759,14,0.483,0,-,8,0.276,59,2.034,13
"Jones, Joseph",Sr.,2007-08,C,6-9,36,132,274,0.482,8,20,0.400,99,144,0.688,193,5.361,45,1.250,15,0.417,17,0.472,371,10.306,47
"Jordan, DeAndre",Fr.,2007-08,C,7-0,35,113,183,0.617,0,0,-,52,119,0.437,210,6.000,15,0.429,44,1.257,7,0.200,278,7.943,57
"Kirk, Dominique",Sr.,2007-08,G,6-4,36,97,229,0.424,46,113,0.407,63,82,0.768,128,3.556,128,3.556,16,0.444,24,0.667,303,8.417,53
"Lewis, Derrek",Fr.,2007-08,G,6-5,9,2,8,0.250,2,7,0.286,0,0,-,7,0.778,2,0.222,0,-,0,-,6,0.667,1
"Muhlbach, Beau",Sr.,2007-08,G,6-5,29,23,47,0.489,4,13,0.308,19,28,0.679,36,1.241,8,0.276,2,0.069,10,0.345,69,2.379,19
"Roland, Derrick",So.,2007-08,G,6-4,36,79,180,0.439,19,68,0.279,26,49,0.531,76,2.111,40,1.111,6,0.167,13,0.361,203,5.639,35
"Schepel, Shawn",Fr.,2007-08,G,6-3,3,0,2,0.000,0,0,-,1,2,0.500,2,0.667,0,-,0,-,0,-,1,0.333,0
"Sloan, Donald",So.,2007-08,G,6-3,36,120,287,0.418,25,89,0.281,76,113,0.673,143,3.972,123,3.417,1,0.028,18,0.500,341,9.472,82
"Walkup, Nathan",Fr.,2007-08,F,6-6,27,19,37,0.514,12,27,0.444,4,7,0.571,25,0.926,5,0.185,0,-,2,0.074,54,2.000,11
