name,school_year,year,position,height,G,field_goals_made,field_goal_attempts,field_goal_percent,three_pointers_made,three_pointer_attempts,three_pointer_percent,free_throws_made,free_throws_attempts,free_throw_percent,rebounds,rebounds_average,assists,assists_average,blocks,blocks_average,steals,steals_average,points,points_average,turnovers
"Abdul-Hamid, Mustafa",So.,2007-08,G,6-2,13,5,14,0.357,3,8,0.375,2,4,0.500,5,0.385,9,0.692,0,-,2,0.154,15,1.154,5
"Aboya, Alfred",Jr.,2007-08,F,6-8,39,47,93,0.505,1,3,0.333,19,36,0.528,85,2.179,13,0.333,6,0.154,20,0.513,114,2.923,25
"Collison, Darren",Jr.,2007-08,G,6-1,33,161,335,0.481,53,101,0.525,102,117,0.872,86,2.606,124,3.758,3,0.091,61,1.848,477,14.455,74
"Dragovic, Nikola",So.,2007-08,F,6-8,25,20,59,0.339,10,42,0.238,12,12,1.000,34,1.360,4,0.160,6,0.240,3,0.120,62,2.480,11
"Ellis, Joey",Jr.,2007-08,G,6-2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Keefe, James",So.,2007-08,F,6-8,25,26,53,0.491,4,15,0.267,13,23,0.565,67,2.680,6,0.240,14,0.560,3,0.120,69,2.760,14
"Lee, Matt",Sr.,2007-08,G,6-0,11,2,8,0.250,2,7,0.286,0,1,0.000,1,0.091,4,0.364,0,-,2,0.182,6,0.545,3
"Love, Kevin",Fr.,2007-08,C,6-10,39,227,406,0.559,29,82,0.354,198,258,0.767,415,10.641,75,1.923,56,1.436,27,0.692,681,17.462,78
"Mata-Real, Lorenzo",Sr.,2007-08,C,6-9,37,47,95,0.495,0,0,-,19,42,0.452,128,3.459,6,0.162,41,1.108,6,0.162,113,3.054,18
"Mbah a Moute, Luc Richard",Jr.,2007-08,F,6-8,33,117,245,0.478,5,25,0.200,51,74,0.689,198,6.000,51,1.545,15,0.455,34,1.030,290,8.788,62
"McGrath, David",Jr.,2007-08,G,6-4,4,0,0,-,0,0,-,0,0,-,0,-,0,-,1,0.250,0,-,0,-,0
"Robinson, DeAndre",Jr.,2007-08,G,6-5,10,0,3,0.000,0,1,0.000,0,0,-,2,0.200,0,-,0,-,1,0.100,0,-,4
"Roll, Michael",Jr.,2007-08,G,6-5,6,6,25,0.240,4,14,0.286,1,3,0.333,10,1.667,14,2.333,0,-,2,0.333,17,2.833,7
"Schmidt, Kevin",Fr.,2007-08,-,-,4,1,1,1.000,0,0,-,3,4,0.750,2,0.500,0,-,0,-,0,-,5,1.250,0
"Shipp, Josh",Jr.,2007-08,F,6-5,39,169,389,0.434,70,216,0.324,67,87,0.770,123,3.154,83,2.128,16,0.410,52,1.333,475,12.179,67
"Stanback, Chace",Fr.,2007-08,F,6-8,25,19,47,0.404,7,21,0.333,1,2,0.500,18,0.720,6,0.240,2,0.080,9,0.360,46,1.840,15
"Westbrook, Russell",So.,2007-08,G,6-3,39,182,391,0.465,26,77,0.338,107,150,0.713,153,3.923,167,4.282,7,0.179,63,1.615,497,12.744,96
