name,school_year,year,position,height,G,field_goals_made,field_goal_attempts,field_goal_percent,three_pointers_made,three_pointer_attempts,three_pointer_percent,free_throws_made,free_throws_attempts,free_throw_percent,rebounds,rebounds_average,assists,assists_average,blocks,blocks_average,steals,steals_average,points,points_average,turnovers
"Accaoui, Joey",Fr.,2007-08,G,5-10,29,46,113,0.407,19,58,0.328,7,8,0.875,25,0.862,19,0.655,0,-,12,0.414,118,4.069,19
"Bergmann, Pat",Fr.,2007-08,F,6-10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Blakely, Marqus",So.,2007-08,F,6-5,29,198,360,0.550,1,6,0.167,153,271,0.565,320,11.034,67,2.310,79,2.724,57,1.966,550,18.966,73
"Cieplicki, Kyle",Sr.,2007-08,G,6-4,29,111,256,0.434,54,142,0.380,30,36,0.833,100,3.448,65,2.241,0,-,12,0.414,306,10.552,51
"Dean, Jordan",Jr.,2007-08,F,6-6,13,3,6,0.500,1,1,1.000,0,0,-,4,0.308,0,-,0,-,0,-,7,0.538,3
"Fjeld, Evan",Fr.,2007-08,F,6-8,20,44,95,0.463,0,1,0.000,22,32,0.688,66,3.300,10,0.500,10,0.500,2,0.100,110,5.500,17
"Kissel, Garrett",Fr.,2007-08,F,6-9,19,6,11,0.545,0,0,-,2,9,0.222,18,0.947,0,-,0,-,2,0.105,14,0.737,6
"McCrory, Timothy",Sr.,2007-08,F,6-6,22,49,80,0.613,0,0,-,25,37,0.676,108,4.909,14,0.636,23,1.045,7,0.318,123,5.591,32
"McIntosh, Colin",Jr.,2007-08,F,6-8,31,81,198,0.409,17,48,0.354,34,47,0.723,104,3.355,21,0.677,24,0.774,12,0.387,213,6.871,40
"Powlovich, Chad",Sr.,2007-08,G,6-4,31,18,52,0.346,0,0,-,13,17,0.765,74,2.387,20,0.645,1,0.032,10,0.323,49,1.581,24
"Robbins, Kyle",Fr.,2007-08,F,6-10,11,1,5,0.200,0,0,-,2,2,1.000,4,0.364,1,0.091,1,0.091,0,-,4,0.364,1
"Shields, Ryan",Jr.,2007-08,F,6-8,29,15,36,0.417,0,0,-,9,11,0.818,53,1.828,9,0.310,6,0.207,6,0.207,39,1.345,15
"Trimboli, Mike",Jr.,2007-08,G,6-1,31,186,425,0.438,63,177,0.356,121,140,0.864,116,3.742,139,4.484,6,0.194,41,1.323,556,17.935,114
"Vier, Nick",So.,2007-08,G,6-1,30,49,123,0.398,22,65,0.338,32,47,0.681,54,1.800,88,2.933,0,-,25,0.833,152,5.067,67
