name,school_year,year,position,height,G,field_goals_made,field_goal_attempts,field_goal_percent,three_pointers_made,three_pointer_attempts,three_pointer_percent,free_throws_made,free_throws_attempts,free_throw_percent,rebounds,rebounds_average,assists,assists_average,blocks,blocks_average,steals,steals_average,points,points_average,turnovers
"Abercrombie, Thomas",Fr.,2007-08,G,6-6,12,5,19,0.263,2,11,0.182,2,5,0.400,18,1.500,6,0.500,3,0.250,2,0.167,14,1.167,4
"Baynes, Aron",Jr.,2007-08,C,6-10,35,135,225,0.600,0,1,0.000,95,144,0.660,210,6.000,11,0.314,26,0.743,23,0.657,365,10.429,53
"Boeke, Fabian",Fr.,2007-08,F,6-11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Burris, Jan",Fr.,2007-08,G,6-4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Cowgill, Robbie",Sr.,2007-08,F,6-10,35,105,194,0.541,0,1,0.000,45,66,0.682,178,5.086,23,0.657,29,0.829,23,0.657,255,7.286,26
"Cross, Jeremy",Sr.,2007-08,G,6-2,14,3,13,0.231,0,5,0.000,0,0,-,4,0.286,7,0.500,0,-,0,-,6,0.429,3
"Enquist, Charlie",Fr.,2007-08,F,6-10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Forrest, Caleb",Jr.,2007-08,C,6-8,34,47,92,0.511,1,6,0.167,21,27,0.778,69,2.029,8,0.235,9,0.265,3,0.088,116,3.412,17
"Harmeling, Daven",Jr.,2007-08,F,6-7,32,60,141,0.426,35,93,0.376,24,31,0.774,69,2.156,27,0.844,5,0.156,7,0.219,179,5.594,17
"Henry, Chris",Sr.,2007-08,C,6-9,13,2,9,0.222,0,2,0.000,0,0,-,6,0.462,1,0.077,1,0.077,2,0.154,4,0.308,3
"Koprivica, Nikola",So.,2007-08,G,6-6,34,29,74,0.392,4,29,0.138,23,34,0.676,33,0.971,23,0.676,1,0.029,11,0.324,85,2.500,23
"Lodwick, Abe",Fr.,2007-08,G,6-7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Low, Derrick",Sr.,2007-08,G,6-2,35,166,384,0.432,92,239,0.385,69,88,0.784,62,1.771,55,1.571,3,0.086,50,1.429,493,14.086,43
"Rochestie, Taylor",Jr.,2007-08,G,6-1,35,119,256,0.465,53,122,0.434,74,92,0.804,111,3.171,166,4.743,0,-,35,1.000,365,10.429,59
"Sauls, Stephen",Fr.,2007-08,G,6-3,8,6,11,0.545,3,6,0.500,2,2,1.000,6,0.750,4,0.500,0,-,2,0.250,17,2.125,4
"Weaver, Kyle",Sr.,2007-08,G,6-6,35,138,298,0.463,24,66,0.364,126,172,0.733,184,5.257,151,4.314,25,0.714,60,1.714,426,12.171,97
