name,school_year,year,position,height,G,field_goals_made,field_goal_attempts,field_goal_percent,three_pointers_made,three_pointer_attempts,three_pointer_percent,free_throws_made,free_throws_attempts,free_throw_percent,rebounds,rebounds_average,assists,assists_average,blocks,blocks_average,steals,steals_average,points,points_average,turnovers
"Aguilar, Japeth",Jr.,2007-08,C,6-9,2,2,5,0.400,0,2,0.000,4,5,0.800,8,4.000,3,1.500,4,2.000,2,1.000,8,4.000,6
"Brazelton, Tyrone",Sr.,2007-08,G,6-0,36,174,389,0.447,69,161,0.429,101,150,0.673,99,2.750,134,3.722,2,0.056,39,1.083,518,14.389,101
"Evans, Jeremy",So.,2007-08,F,6-9,34,80,128,0.625,8,19,0.421,34,53,0.642,176,5.176,20,0.588,51,1.500,16,0.471,202,5.941,37
"Frazier, B.J.",Fr.,2007-08,F,6-7,17,3,15,0.200,1,7,0.143,0,5,0.000,11,0.647,3,0.176,0,-,1,0.059,7,0.412,4
"Gabou, Desire",Jr.,2007-08,G,6-2,17,1,5,0.200,0,0,-,0,1,0.000,5,0.294,1,0.059,0,-,0,-,2,0.118,4
"Howard, Adam",Sr.,2007-08,G,5-11,16,4,13,0.308,2,8,0.250,10,14,0.714,1,0.063,2,0.125,0,-,1,0.063,20,1.250,5
"Lee, Courtney",Sr.,2007-08,G,6-5,36,259,543,0.477,69,174,0.397,148,180,0.822,175,4.861,75,2.083,28,0.778,65,1.806,735,20.417,84
"Magley, D.J.",Fr.,2007-08,F,6-9,36,76,148,0.514,0,0,-,19,31,0.613,117,3.250,22,0.611,14,0.389,20,0.556,171,4.750,26
"Maresca, Matt",Jr.,2007-08,F,6-8,20,5,10,0.500,1,2,0.500,0,1,0.000,8,0.400,3,0.150,1,0.050,2,0.100,11,0.550,3
"Mendez-Valdez, Orlando",Jr.,2007-08,G,6-1,36,65,154,0.422,37,95,0.389,38,48,0.792,59,1.639,79,2.194,7,0.194,37,1.028,205,5.694,64
"Pegues, A'Darius",So.,2007-08,C,6-10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Pettigrew, Steffphon",Fr.,2007-08,G,6-5,36,45,112,0.402,2,8,0.250,46,65,0.708,102,2.833,7,0.194,9,0.250,13,0.361,138,3.833,25
"Rogers, Ty",Sr.,2007-08,G,6-3,36,86,191,0.450,46,125,0.368,13,20,0.650,81,2.250,39,1.083,1,0.028,27,0.750,231,6.417,26
"Siakam, Boris",Sr.,2007-08,F,6-7,36,55,102,0.539,1,7,0.143,63,90,0.700,139,3.861,20,0.556,4,0.111,13,0.361,174,4.833,51
"Slaughter, A.J.",So.,2007-08,G,6-3,36,98,225,0.436,34,78,0.436,43,57,0.754,76,2.111,39,1.083,3,0.083,40,1.111,273,7.583,50
"Walker, Mike",Sr.,2007-08,F,6-7,27,40,66,0.606,0,1,0.000,10,35,0.286,114,4.222,11,0.407,11,0.407,12,0.444,90,3.333,24
