name,school_year,year,position,height,G,field_goals_made,field_goal_attempts,field_goal_percent,three_pointers_made,three_pointer_attempts,three_pointer_percent,free_throws_made,free_throws_attempts,free_throw_percent,rebounds,rebounds_average,assists,assists_average,blocks,blocks_average,steals,steals_average,points,points_average,turnovers
"Bellebaum, Andrew",So.,2007-08,F,6-7,11,3,7,0.429,1,2,0.500,2,4,0.500,2,0.182,3,0.273,1,0.091,0,-,9,0.818,4
"Crowell, Drew",Fr.,2007-08,F,6-9,28,9,29,0.310,0,0,-,7,14,0.500,34,1.214,7,0.250,5,0.179,2,0.071,25,0.893,10
"Dahlman, Noah",Fr.,2007-08,F,6-6,30,92,151,0.609,0,0,-,49,93,0.527,190,6.333,18,0.600,6,0.200,13,0.433,233,7.767,33
"Estep, Matt",Jr.,2007-08,G,6-3,27,37,93,0.398,24,62,0.387,10,12,0.833,30,1.111,13,0.481,1,0.037,5,0.185,108,4.000,17
"Gibson, Drew",Sr.,2007-08,G,6-2,30,102,249,0.410,35,89,0.393,125,158,0.791,93,3.100,180,6.000,5,0.167,49,1.633,364,12.133,83
"Godzinski, Corey",So.,2007-08,G,6-8,32,92,185,0.497,22,71,0.310,31,58,0.534,105,3.281,26,0.813,16,0.500,14,0.438,237,7.406,31
"Jackson, Marcus",Jr.,2007-08,G,6-1,9,10,17,0.588,8,15,0.533,0,1,0.000,10,1.111,0,-,1,0.111,3,0.333,28,3.111,5
"Johnson, Tim",So.,2007-08,G,6-5,30,63,140,0.450,0,0,-,33,79,0.418,177,5.900,21,0.700,14,0.467,21,0.700,159,5.300,37
"Martin, Terry",Fr.,2007-08,F,6-6,31,58,109,0.532,0,0,-,60,83,0.723,97,3.129,6,0.194,7,0.226,8,0.258,176,5.677,40
"Nichols, Shane",Sr.,2007-08,G,6-0,24,101,250,0.404,66,167,0.395,56,71,0.789,33,1.375,18,0.750,2,0.083,15,0.625,324,13.500,28
"Nixon, Norm",So.,2007-08,G,6-0,19,20,45,0.444,7,12,0.583,3,3,1.000,36,1.895,34,1.789,0,-,6,0.316,50,2.632,13
"Rankin, Isaac",Fr.,2007-08,F,6-5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Salters, Junior",So.,2007-08,G,6-1,32,103,283,0.364,63,179,0.352,39,50,0.780,86,2.688,58,1.813,4,0.125,40,1.250,308,9.625,68
"Whatley, Tyler",Jr.,2007-08,F,6-9,24,53,128,0.414,0,1,0.000,20,37,0.541,87,3.625,20,0.833,21,0.875,7,0.292,126,5.250,27
