Missouri,11/12/2007,76,87,Away,,-,"5,042"
Central Mo.,11/13/2007,70,75,Neutral,"Columbia, MO",-,"5,076"
Niagara,11/16/2007,73,79,Away,,-,"2,400"
Minnesota,11/24/2007,59,77,Away,,-,"12,194"
Ill.-Chicago,11/28/2007,52,65,Home,,-,863
Detroit,12/01/2007,70,66,Away,,-,"2,234"
Robert Morris,12/05/2007,83,72,Away,,-,"1,156"
Cal St. Fullerton,12/08/2007,79,76,Home,,-,"2,558"
Michigan,12/15/2007,78,67,Away,,-,"8,829"
Milwaukee,12/19/2007,71,74,Away,,-,"2,555"
Cleveland St.,12/22/2007,70,86,Away,,-,"1,518"
Tiffin,12/29/2007,100,34,Home,,-,793
Eastern Mich.,01/06/2008,62,53,Home,,-,"1,544"
Ball St.,01/13/2008,71,82,Away,,-,"2,077"
Toledo,01/16/2008,61,72,Away,,-,"5,267"
Northern Ill.,01/19/2008,77,63,Home,,-,"2,794"
Western Mich.,01/22/2008,52,72,Away,,-,"3,859"
Akron,01/26/2008,65,64,Home,,-,"1,892"
Ohio,01/29/2008,47,62,Away,,-,"3,705"
Buffalo,02/02/2008,100,96,Home,,2 OT,"1,557"
Bowling Green,02/06/2008,81,77,Away,,1 OT,"1,061"
Miami (OH),02/09/2008,64,68,Away,,-,"3,271"
Kent St.,02/12/2008,66,79,Home,,-,"1,658"
Eastern Mich.,02/16/2008,64,67,Away,,-,"1,797"
Ball St.,02/20/2008,63,58,Home,,-,"1,464"
Missouri St.,02/23/2008,76,90,Away,,-,"6,491"
Northern Ill.,03/01/2008,80,73,Away,,-,"3,071"
Western Mich.,03/04/2008,72,68,Home,,-,"1,178"
Toledo,03/09/2008,83,90,Home,,1 OT,"1,415"
Northern Ill.,03/12/2008,83,71,Neutral,"Cleveland, OH",-,"5,439"
Akron,03/13/2008,60,81,Neutral,"Cleveland, OH",-,"4,232"
