West Va. Wesleyan,11/10/2007,78,45,Home,,-,"5,700"
Thomas More,11/13/2007,56,38,Home,,-,"2,400"
East Tenn. St.,11/17/2007,56,76,Away,,-,"3,575"
UAB,11/21/2007,50,64,Away,,-,"3,321"
Duke,11/25/2007,43,78,Away,,-,"9,314"
James Madison,11/28/2007,71,82,Home,,-,"1,750"
Youngstown St.,12/01/2007,61,50,Home,,-,"1,400"
Murray St.,12/05/2007,59,58,Away,,-,"2,779"
Western Ky.,12/08/2007,60,77,Home,,-,"4,900"
Eastern Ill.,12/17/2007,72,69,Home,,-,"1,150"
UT Martin,12/19/2007,70,51,Home,,-,"1,100"
Austin Peay,12/22/2007,67,75,Away,,-,"2,895"
Southeast Mo. St.,01/02/2008,55,66,Away,,-,"3,321"
Tennessee Tech,01/05/2008,64,75,Home,,-,"3,100"
Morehead St.,01/10/2008,53,62,Away,,-,"3,209"
Eastern Ill.,01/12/2008,67,56,Away,,-,727
Jacksonville St.,01/17/2008,71,55,Home,,-,"2,300"
Samford,01/19/2008,57,64,Home,,-,"3,200"
Tennessee St.,01/24/2008,65,63,Away,,-,"2,287"
UT Martin,01/29/2008,74,60,Away,,-,"1,432"
Tennessee Tech,02/02/2008,87,77,Away,,-,"2,291"
Murray St.,02/07/2008,60,47,Home,,-,"3,450"
Southeast Mo. St.,02/09/2008,80,69,Home,,1 OT,"2,300"
Jacksonville St.,02/14/2008,61,73,Away,,-,"1,197"
Samford,02/16/2008,73,74,Away,,-,962
Morehead St.,02/20/2008,49,51,Home,,-,"2,700"
Ball St.,02/23/2008,51,48,Home,,-,"1,350"
Austin Peay,02/28/2008,59,65,Home,,-,"2,700"
Tennessee St.,03/01/2008,70,89,Home,,-,"2,850"
Austin Peay,03/04/2008,51,76,Away,,-,"2,817"
