Radford,11/09/2007,82,55,Home,,-,"10,756"
Brown,11/11/2007,72,57,Home,,-,"7,948"
Georgetown,11/15/2007,52,74,Away,,-,"12,653"
Butler,11/21/2007,65,79,Neutral,"Anchorage, AK",-,"7,265"
Eastern Wash.,11/23/2007,61,53,Neutral,"Anchorage, AK",-,"6,869"
Western Ky.,11/24/2007,69,73,Neutral,"Anchorage, AK",-,"7,043"
Boston College,11/28/2007,64,77,Home,,-,"8,716"
Harvard,12/01/2007,51,62,Away,,-,"2,050"
Duke,12/08/2007,67,95,Away,,-,"9,314"
Oakland,12/12/2007,103,87,Home,,-,"8,435"
Central Mich.,12/15/2007,67,78,Home,,-,"8,829"
UCLA,12/22/2007,54,69,Home,,-,"13,069"
Wisconsin,01/02/2008,54,70,Home,,-,"8,855"
Purdue,01/05/2008,58,65,Away,,-,"14,010"
Indiana,01/08/2008,64,78,Home,,-,"9,157"
Northwestern,01/12/2008,78,68,Away,,-,"5,027"
Illinois,01/16/2008,57,75,Away,,-,"16,618"
Iowa,01/19/2008,60,68,Home,,-,"11,638"
Wisconsin,01/22/2008,61,64,Away,,-,"17,190"
Michigan St.,01/27/2008,62,77,Away,,-,"14,759"
Minnesota,01/31/2008,65,77,Home,,-,"8,645"
Ohio St.,02/05/2008,55,65,Away,,-,"19,049"
Penn St.,02/09/2008,68,63,Home,,-,"9,714"
Iowa,02/14/2008,60,52,Away,,-,"9,662"
Ohio St.,02/17/2008,80,70,Home,,-,"13,751"
Minnesota,02/21/2008,60,69,Away,,-,"12,801"
Illinois,02/23/2008,49,43,Home,,-,"11,017"
Northwestern,02/26/2008,60,62,Home,,-,"7,927"
Penn St.,03/01/2008,61,69,Away,,-,"8,994"
Purdue,03/09/2008,58,72,Home,,-,"12,047"
Iowa,03/13/2008,55,47,Neutral,"Indianapolis, IN",-,"13,852"
Wisconsin,03/14/2008,34,51,Neutral,"Indianapolis, IN",-,"15,355"
