UNLV,11/09/2007,65,76,Away,,-,"10,013"
Long Beach St.,11/13/2007,74,56,Home,,-,"1,600"
Boise St.,11/16/2007,86,84,Home,,-,"4,866"
Fresno St.,11/21/2007,74,86,Away,,-,"9,956"
UC Santa Barbara,11/24/2007,61,76,Away,,-,"1,091"
Alcorn St.,11/30/2007,83,57,Home,,-,"4,757"
Pepperdine,12/01/2007,95,89,Home,,-,"4,481"
Nevada,12/08/2007,76,82,Away,,-,"6,492"
Wyoming,12/15/2007,79,72,Neutral,"Casper, WY",-,"4,995"
Arizona St.,12/18/2007,62,66,Away,,-,"6,614"
Great Falls,12/21/2007,80,48,Home,,-,"4,160"
Evergreen St.,12/28/2007,92,56,Home,,-,"4,436"
Oregon St.,12/30/2007,60,59,Away,,-,"3,734"
Montana,01/05/2008,74,58,Home,,-,"6,585"
Sacramento St.,01/10/2008,77,78,Away,,-,533
Northern Ariz.,01/12/2008,58,78,Away,,-,"1,441"
Weber St.,01/17/2008,76,78,Home,,-,"5,272"
Idaho St.,01/19/2008,74,53,Home,,-,"5,267"
Northern Colo.,01/24/2008,70,67,Away,,-,"1,248"
Eastern Wash.,01/26/2008,74,69,Home,,-,"5,430"
Eastern Wash.,01/31/2008,64,57,Away,,-,"1,495"
Portland St.,02/02/2008,85,96,Away,,-,"1,157"
Montana,02/09/2008,76,88,Away,,-,"6,226"
Northern Ariz.,02/14/2008,70,67,Home,,-,"4,654"
Sacramento St.,02/17/2008,87,82,Home,,-,"5,038"
Idaho St.,02/21/2008,49,64,Away,,-,"2,788"
Weber St.,02/23/2008,63,73,Away,,-,"6,061"
Portland St.,02/28/2008,68,96,Home,,-,"5,102"
Northern Colo.,03/01/2008,79,91,Home,,-,"5,103"
Weber St.,03/08/2008,49,65,Away,,-,"2,518"
