Connecticut,11/07/2007,65,69,Away,,-,"9,711"
Ohio Valley,11/08/2007,77,66,Neutral,"Storrs, CT",-,"9,740"
Saint Francis (PA),11/14/2007,77,53,Away,,-,"1,057"
American,11/20/2007,62,54,Home,,-,892
Miami (FL),11/24/2007,51,55,Away,,-,"1,777"
UMBC,11/29/2007,76,84,Away,,-,"2,451"
Coppin St.,12/01/2007,78,50,Away,,-,907
Maryland,12/06/2007,65,89,Away,,-,"17,950"
La Salle,12/08/2007,93,87,Home,,-,973
Longwood,12/21/2007,76,51,Home,,-,603
Niagara,12/28/2007,53,73,Neutral,"Santa Clara, CA",-,"1,512"
Denver,12/29/2007,44,54,Neutral,"Santa Clara, CA",-,"1,782"
Seton Hall,01/05/2008,81,89,Away,,-,"5,210"
N.C. A&T,01/12/2008,87,66,Away,,-,"3,731"
Norfolk St.,01/14/2008,69,71,Away,,-,"2,207"
Florida A&M,01/19/2008,57,41,Home,,-,"2,987"
Bethune-Cookman,01/21/2008,59,50,Home,,-,"2,987"
Howard,01/26/2008,69,51,Away,,-,"1,980"
Hampton,01/28/2008,64,57,Away,,-,"2,445"
Md.-East. Shore,02/02/2008,67,52,Home,,-,"1,281"
Delaware St.,02/04/2008,64,59,Home,,-,"3,409"
Winston-Salem,02/09/2008,63,41,Home,,-,"1,792"
South Carolina St.,02/11/2008,81,55,Home,,-,"2,246"
Florida A&M,02/16/2008,89,90,Away,,1 OT,"1,123"
Bethune-Cookman,02/18/2008,63,52,Away,,-,"2,312"
Howard,02/23/2008,64,59,Home,,-,"2,106"
Hampton,02/25/2008,66,62,Home,,1 OT,"3,738"
Delaware St.,03/01/2008,39,36,Away,,-,"1,489"
Coppin St.,03/06/2008,68,64,Home,,-,"4,500"
South Carolina St.,03/12/2008,77,68,Neutral,"Raleigh, NC",-,"4,711"
Delaware St.,03/14/2008,61,55,Neutral,"Raleigh, NC",-,"6,779"
Coppin St.,03/15/2008,60,62,Neutral,"Raleigh, NC",-,"8,120"
Virginia Tech,03/19/2008,62,94,Away,,-,"9,628"
