Presbyterian,11/10/2007,67,52,Home,,-,"6,099"
Alabama A&M,11/17/2007,59,45,Home,,-,"9,671"
Norfolk St.,11/20/2007,83,48,Home,,-,"9,416"
Creighton,11/24/2007,62,74,Away,,-,"17,049"
IPFW,11/26/2007,79,62,Home,,-,"9,816"
Arizona St.,12/02/2007,62,47,Home,,-,"10,273"
Western Ky.,12/05/2007,62,69,Away,,1 OT,"5,809"
Rutgers,12/09/2007,63,51,Home,,-,"9,513"
Savannah St.,12/11/2007,82,37,Home,,-,"9,576"
Oregon,12/15/2007,88,79,Home,"Omaha, NE",1 OT,"12,109"
N.C. Central,12/22/2007,71,28,Home,,-,"9,605"
Alcorn St.,12/29/2007,77,53,Home,,-,"9,877"
Md.-East. Shore,01/04/2008,86,50,Home,,-,"8,539"
Kansas,01/12/2008,58,79,Home,,-,"13,829"
Colorado,01/15/2008,51,55,Away,,-,"5,773"
Baylor,01/19/2008,70,72,Home,,-,"10,493"
Kansas,01/26/2008,49,84,Away,,-,"16,300"
Missouri,01/30/2008,66,62,Away,,-,"8,660"
Iowa St.,02/02/2008,64,56,Home,,-,"11,443"
Kansas St.,02/06/2008,59,74,Away,,-,"12,393"
Texas Tech,02/09/2008,73,62,Home,,-,"11,328"
Missouri,02/13/2008,78,86,Home,,1 OT,"10,108"
Iowa St.,02/16/2008,52,60,Away,,-,"14,376"
Kansas St.,02/20/2008,71,64,Home,,-,"11,592"
Texas A&M,02/23/2008,65,59,Away,,-,"11,207"
Oklahoma,02/27/2008,63,45,Home,,-,"11,107"
Oklahoma St.,03/01/2008,63,77,Away,,-,"13,439"
Texas,03/04/2008,66,70,Away,,-,"14,565"
Colorado,03/09/2008,68,49,Home,,-,"11,901"
Missouri,03/13/2008,61,56,Neutral,"Kansas City, MO",-,"18,758"
Kansas,03/14/2008,54,64,Neutral,"Kansas City, MO",-,"18,897"
Charlotte,03/19/2008,67,48,Home,,-,"9,427"
Ole Miss,03/24/2008,75,85,Away,,1 OT,"5,149"
