VMI,11/09/2007,104,97,Neutral,"USAFA, CO",-,661
Air Force,11/10/2007,62,71,Away,,-,"2,349"
Iowa,11/14/2007,47,59,Away,,-,"8,483"
Denver,11/17/2007,64,46,Home,,-,"1,160"
Johnson & Wales (CO),11/27/2007,62,51,Home,,-,"1,064"
Colorado St.,12/01/2007,72,59,Home,,-,"2,759"
Bowling Green,12/06/2007,64,60,Home,,1 OT,"1,361"
Denver,12/08/2007,53,69,Away,,-,"2,056"
Gonzaga,12/17/2007,57,77,Away,,-,"6,000"
Oregon St.,12/19/2007,56,65,Away,,-,"3,324"
Portland,12/21/2007,63,70,Away,,-,"1,016"
Sacramento St.,12/28/2007,74,60,Home,,-,971
Northern Ariz.,12/30/2007,70,86,Away,,-,948
Idaho St.,01/03/2008,65,76,Home,,-,967
Weber St.,01/05/2008,55,52,Home,,-,"1,075"
San Diego St.,01/09/2008,62,56,Away,,-,"5,222"
Eastern Wash.,01/17/2008,85,91,Away,,1 OT,"1,573"
Portland St.,01/19/2008,83,85,Away,,1 OT,836
Montana St.,01/24/2008,67,70,Home,,-,"1,248"
Montana,01/26/2008,60,71,Home,,-,"1,614"
Northern Ariz.,01/31/2008,80,77,Home,,-,"1,112"
Sacramento St.,02/02/2008,70,74,Away,,-,530
Idaho St.,02/07/2008,76,66,Away,,-,"2,200"
Weber St.,02/09/2008,54,70,Away,,-,"3,509"
Johnson & Wales (CO),02/12/2008,84,65,Home,,-,940
Portland St.,02/20/2008,79,88,Home,,-,"1,218"
Eastern Wash.,02/23/2008,79,66,Home,,-,"1,305"
Montana,02/28/2008,66,81,Away,,-,"4,003"
Montana St.,03/01/2008,91,79,Away,,-,"5,103"
