SMU,11/10/2007,75,61,Away,,-,"3,127"
Paul Quinn,11/11/2007,81,84,Neutral,"Dallas, TX",-,"2,379"
Missouri,11/16/2007,50,95,Away,,-,"5,287"
Southeastern La.,11/20/2007,46,58,Away,,-,"1,981"
LSU,11/30/2007,45,88,Away,,-,"7,719"
Stephen F. Austin,12/04/2007,39,56,Away,,-,"1,344"
Houston,12/08/2007,49,73,Away,,-,"3,336"
Auburn,12/15/2007,63,71,Neutral,"Mobile, AL",-,"6,731"
North Texas,12/17/2007,58,79,Away,,-,"2,218"
Baylor,12/21/2007,60,71,Home,,-,750
Dillard,12/30/2007,86,67,Home,,-,287
Prairie View,01/05/2008,70,63,Away,,-,587
Texas Southern,01/07/2008,54,65,Away,,-,315
Grambling,01/12/2008,76,56,Home,,-,"2,621"
Jackson St.,01/14/2008,85,69,Home,,-,"1,783"
Ark.-Pine Bluff,01/19/2008,70,60,Away,,-,"1,123"
Mississippi Val.,01/21/2008,58,61,Away,,-,"3,124"
Alabama A&M,01/26/2008,65,49,Home,,-,485
Alabama St.,01/28/2008,44,59,Home,,-,"1,417"
Alcorn St.,02/02/2008,86,67,Home,,-,747
Grambling,02/09/2008,76,79,Away,,1 OT,"3,419"
Jackson St.,02/11/2008,71,85,Away,,-,"1,627"
Ark.-Pine Bluff,02/16/2008,52,60,Home,,-,739
Mississippi Val.,02/18/2008,51,52,Home,,-,759
Alabama A&M,02/23/2008,54,60,Away,,-,"1,134"
Alabama St.,02/25/2008,46,65,Away,,-,"2,458"
Alcorn St.,03/01/2008,67,61,Away,,-,300
Prairie View,03/06/2008,76,64,Home,,-,963
Texas Southern,03/08/2008,76,71,Home,,1 OT,673
Jackson St.,03/13/2008,55,56,Neutral,"Birmingham, AL",-,384
