Morgan St.,11/07/2007,69,65,Home,,-,"9,711"
Buffalo,11/08/2007,82,57,Home,,-,"9,740"
Gardner-Webb,11/15/2007,78,66,Neutral,"New York, NY",-,"7,308"
Memphis,11/16/2007,70,81,Neutral,"New York, NY",-,"8,895"
Gardner-Webb,11/20/2007,89,72,Home,,-,"11,172"
Florida A&M,11/26/2007,93,54,Home,,-,"11,064"
Gonzaga,12/01/2007,82,85,Neutral,"Boston, MA",-,"18,007"
Northeastern,12/06/2007,69,60,Home,,-,"9,915"
Quinnipiac,12/16/2007,82,49,Home,,-,"11,497"
Maine,12/22/2007,105,60,Home,,-,"12,244"
UCF,12/28/2007,85,82,Away,,-,"6,224"
Seton Hall,01/03/2008,98,86,Away,,-,"6,962"
Notre Dame,01/05/2008,67,73,Away,,-,"10,505"
St. John's (NY),01/08/2008,81,65,Home,,-,"9,786"
Georgetown,01/12/2008,69,72,Away,,-,"20,035"
Providence,01/17/2008,65,77,Home,,-,"13,719"
Marquette,01/20/2008,89,73,Home,,-,"10,167"
Cincinnati,01/23/2008,84,83,Away,,-,"10,481"
Indiana,01/26/2008,68,63,Away,,-,"17,392"
Louisville,01/28/2008,69,67,Home,,-,"15,120"
Pittsburgh,02/02/2008,60,53,Home,,-,"16,294"
Syracuse,02/06/2008,63,61,Away,,-,"23,721"
Georgia Tech,02/09/2008,80,68,Home,,-,"10,167"
Notre Dame,02/13/2008,84,78,Home,,-,"10,167"
South Fla.,02/16/2008,74,73,Away,,1 OT,"6,185"
DePaul,02/19/2008,65,60,Home,,-,"14,858"
Villanova,02/23/2008,65,67,Away,,-,"19,223"
Rutgers,02/26/2008,79,61,Away,,-,"5,833"
West Virginia,03/01/2008,79,71,Home,,-,"16,294"
Providence,03/06/2008,76,85,Away,,-,"9,986"
Cincinnati,03/09/2008,96,51,Home,,-,"10,167"
West Virginia,03/13/2008,72,78,Neutral,"New York, NY",-,"19,562"
San Diego,03/21/2008,69,70,Neutral,"Tampa, FL",1 OT,"15,920"
