name,school_year,year,position,height,G,field_goals_made,field_goal_attempts,field_goal_percent,three_pointers_made,three_pointer_attempts,three_pointer_percent,free_throws_made,free_throws_attempts,free_throw_percent,rebounds,rebounds_average,assists,assists_average,blocks,blocks_average,steals,steals_average,points,points_average,turnovers
"Brooks, Brandon",Sr.,2008-09,G,6-2,32,143,285,0.502,24,65,0.369,128,166,0.771,134,4.188,212,6.625,10,0.313,43,1.344,438,13.688,105
"Butler, Tramaine",Fr.,2008-09,G,6-3,32,55,122,0.451,16,51,0.314,22,56,0.393,81,2.531,40,1.250,4,0.125,33,1.031,148,4.625,23
"Fitch, Roland",So.,2008-09,F,6-6,32,133,246,0.541,6,23,0.261,38,61,0.623,113,3.531,17,0.531,10,0.313,13,0.406,310,9.688,40
"Freeman, Jevon",Fr.,2008-09,-,-,12,0,2,0.000,0,0,-,1,3,0.333,7,0.583,9,0.750,0,-,1,0.083,1,0.083,12
"Hayles, Andrew",Sr.,2008-09,G,6-5,32,155,361,0.429,70,189,0.370,57,80,0.713,109,3.406,45,1.406,10,0.313,29,0.906,437,13.656,68
"Jefferson, Jordan",Fr.,2008-09,F,6-7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Jones, W",Fr.,2008-09,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Jones, Wesley",Jr.,2008-09,F,6-7,18,64,143,0.448,15,42,0.357,24,33,0.727,117,6.500,19,1.056,2,0.111,14,0.778,167,9.278,24
"Kickingstallionsims, Chief",Sr.,2008-09,C,7-0,32,111,187,0.594,0,0,-,50,86,0.581,129,4.031,9,0.281,88,2.750,6,0.188,272,8.500,35
"Mattews, Shedrick",Fr.,2008-09,F,6-4,1,0,0,-,0,0,-,0,0,-,0,-,1,1.000,0,-,0,-,0,-,1
"Middlebrooks, Jeffery",Fr.,2008-09,G,6-0,20,3,10,0.300,1,6,0.167,2,2,1.000,9,0.450,18,0.900,0,-,3,0.150,9,0.450,13
"Moorer, Tramayne",So.,2008-09,F,6-6,1,0,0,-,0,0,-,0,0,-,0,-,0,-,0,-,0,-,0,-,0
"Mundadi, Menji",Jr.,2008-09,G,6-3,31,35,119,0.294,24,84,0.286,13,22,0.591,59,1.903,10,0.323,1,0.032,7,0.226,107,3.452,14
"Provitt, Rashad",Sr.,2008-09,F,6-7,22,42,112,0.375,12,45,0.267,33,64,0.516,119,5.409,30,1.364,8,0.364,9,0.409,129,5.864,41
"Stangline, Jerry",Fr.,2008-09,G,6-2,7,3,11,0.273,1,4,0.250,3,4,0.750,8,1.143,2,0.286,0,-,1,0.143,10,1.429,3
"Sutton, Jimmie",Jr.,2008-09,F,6-10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Tolbert, Alexander",Fr.,2008-09,-,-,5,1,3,0.333,0,1,0.000,0,2,0.000,3,0.600,0,-,0,-,0,-,2,0.400,5
"Tolbert, A",Fr.,2008-09,-,-,1,2,5,0.400,0,0,-,1,3,0.333,4,4.000,0,-,0,-,1,1.000,5,5.000,1
"Walker, Byron",Jr.,2008-09,F,6-8,10,14,24,0.583,0,0,-,3,9,0.333,33,3.300,5,0.500,5,0.500,0,-,31,3.100,8
"Watts, Ryan",Fr.,2008-09,G,6-1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"White, Ivory",Fr.,2008-09,G,6-4,30,55,122,0.451,12,40,0.300,14,23,0.609,114,3.800,28,0.933,15,0.500,22,0.733,136,4.533,21
