name,school_year,year,position,height,G,field_goals_made,field_goal_attempts,field_goal_percent,three_pointers_made,three_pointer_attempts,three_pointer_percent,free_throws_made,free_throws_attempts,free_throw_percent,rebounds,rebounds_average,assists,assists_average,blocks,blocks_average,steals,steals_average,points,points_average,turnovers
"Aihe, Francis",Jr.,2008-09,F,6-9,13,1,4,0.250,0,0,-,3,4,0.750,8,0.615,0,-,1,0.077,0,-,5,0.385,2
"Barber, Korvotney",Sr.,2008-09,F,6-7,36,188,345,0.545,0,0,-,86,182,0.473,347,9.639,34,0.944,44,1.222,24,0.667,462,12.833,82
"Barrett, Rasheem",Sr.,2008-09,G,6-5,33,128,299,0.428,26,80,0.325,45,60,0.750,115,3.485,47,1.424,2,0.061,29,0.879,327,9.909,48
"Drum, Jake",Fr.,2008-09,G,6-5,10,2,3,0.667,0,0,-,3,4,0.750,3,0.300,0,-,0,-,0,-,7,0.700,1
"Hargrove, Lucas",Jr.,2008-09,F,6-6,36,104,224,0.464,27,75,0.360,55,89,0.618,191,5.306,63,1.750,20,0.556,40,1.111,290,8.056,62
"Knox, Brendon",Jr.,2008-09,C,6-10,32,31,47,0.660,0,0,-,19,44,0.432,55,1.719,7,0.219,10,0.313,10,0.313,81,2.531,25
"Lett, Johnnie",Jr.,2008-09,F,6-7,21,24,46,0.522,0,0,-,10,25,0.400,71,3.381,6,0.286,10,0.476,8,0.381,58,2.762,14
"McGee, Brandon",So.,2008-09,F,6-7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Neysmith, Tony",So.,2008-09,G,6-5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Reed, DeWayne",Jr.,2008-09,G,6-1,36,156,403,0.387,65,199,0.327,97,157,0.618,92,2.556,134,3.722,15,0.417,67,1.861,474,13.167,92
"Robertson, Quantez",Sr.,2008-09,G,6-3,36,67,170,0.394,17,72,0.236,66,106,0.623,141,3.917,114,3.167,9,0.250,55,1.528,217,6.028,62
"Smith, Drew",Sr.,2008-09,G,6-0,2,0,0,-,0,0,-,0,0,-,1,0.500,1,0.500,0,-,0,-,0,-,0
"Sullivan, Frankie",Fr.,2008-09,G,6-1,34,85,210,0.405,41,124,0.331,46,61,0.754,66,1.941,46,1.353,4,0.118,39,1.147,257,7.559,37
"Wallace, Josh",Fr.,2008-09,G,5-9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Waller, Tay",Jr.,2008-09,G,5-2,36,140,355,0.394,100,272,0.368,56,70,0.800,100,2.778,54,1.500,8,0.222,53,1.472,436,12.111,41
"Williams Jr., Larry",So.,2008-09,G,6-2,15,2,10,0.200,2,10,0.200,0,0,-,2,0.133,1,0.067,0,-,2,0.133,6,0.400,3
