name,school_year,year,position,height,G,field_goals_made,field_goal_attempts,field_goal_percent,three_pointers_made,three_pointer_attempts,three_pointer_percent,free_throws_made,free_throws_attempts,free_throw_percent,rebounds,rebounds_average,assists,assists_average,blocks,blocks_average,steals,steals_average,points,points_average,turnovers
"Bailey, Tovi",So.,2008-09,G,6-1,28,61,159,0.384,13,51,0.255,29,48,0.604,65,2.321,76,2.714,1,0.036,16,0.571,164,5.857,53
"Blackmon, Billy",Jr.,2008-09,C,6-10,11,19,35,0.543,0,1,0.000,4,8,0.500,49,4.455,2,0.182,11,1.000,5,0.455,42,3.818,10
"Carter, Omar",So.,2008-09,F,6-5,29,143,352,0.406,45,140,0.321,55,80,0.688,230,7.931,42,1.448,3,0.103,27,0.931,386,13.310,51
"Goods, Quinton",Jr.,2008-09,F,6-7,26,23,49,0.469,0,0,-,11,15,0.733,65,2.500,12,0.462,10,0.385,12,0.462,57,2.192,14
"Johnson, Austin",So.,2008-09,G,6-4,27,44,116,0.379,18,61,0.295,16,32,0.500,55,2.037,22,0.815,1,0.037,6,0.222,122,4.519,22
"Knight, Lorenza",Sr.,2008-09,G,6-2,29,34,64,0.531,0,3,0.000,30,37,0.811,43,1.483,92,3.172,8,0.276,26,0.897,98,3.379,48
"Knysas, Giedrius",Sr.,2008-09,F,6-9,29,104,186,0.559,1,7,0.143,18,54,0.333,129,4.448,13,0.448,4,0.138,7,0.241,227,7.828,32
"Lamb, Joel",Fr.,2008-09,F,6-7,29,72,166,0.434,18,55,0.327,9,18,0.500,106,3.655,17,0.586,28,0.966,17,0.586,171,5.897,33
"Martin, Kelvin",Fr.,2008-09,F,6-5,24,84,186,0.452,1,16,0.063,48,79,0.608,165,6.875,30,1.250,24,1.000,34,1.417,217,9.042,61
"McFadenn, Tracy",Fr.,2008-09,F,6-5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Mitchell, Kenny",Fr.,2008-09,F,6-7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Self, Glenn",Fr.,2008-09,G,6-0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Sweeney, Sean",Jr.,2008-09,F,6-4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Warren, Jamarco",So.,2008-09,G,5-10,29,168,408,0.412,99,249,0.398,81,105,0.771,80,2.759,82,2.828,2,0.069,27,0.931,516,17.793,68
