name,school_year,year,position,height,G,field_goals_made,field_goal_attempts,field_goal_percent,three_pointers_made,three_pointer_attempts,three_pointer_percent,free_throws_made,free_throws_attempts,free_throw_percent,rebounds,rebounds_average,assists,assists_average,blocks,blocks_average,steals,steals_average,points,points_average,turnovers
"Abrams, Jamar",So.,2008-09,G,6-5,30,108,218,0.495,43,101,0.426,41,50,0.820,151,5.033,14,0.467,11,0.367,23,0.767,300,10.000,41
"Hinnant, Sam",Sr.,2008-09,G,6-4,30,138,358,0.385,85,235,0.362,88,106,0.830,109,3.633,58,1.933,2,0.067,17,0.567,449,14.967,46
"Hurt, Howard",Fr.,2008-09,G,6-4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Joyner, Daquan",So.,2008-09,F,6-7,5,14,18,0.778,0,0,-,7,11,0.636,17,3.400,4,0.800,6,1.200,4,0.800,35,7.000,2
"Kupets, Chris",Fr.,2008-09,G,5-11,7,1,6,0.167,0,2,0.000,2,3,0.667,3,0.429,6,0.857,0,-,1,0.143,4,0.571,3
"Legan, James",Sr.,2008-09,G,6-3,30,116,277,0.419,80,197,0.406,42,51,0.824,113,3.767,34,1.133,2,0.067,24,0.800,354,11.800,27
"Morrow, Darrius",Fr.,2008-09,F,6-8,30,94,169,0.556,0,1,0.000,104,160,0.650,200,6.667,21,0.700,24,0.800,17,0.567,292,9.733,44
"O'Bryan, Derek",Fr.,2008-09,F,6-8,9,1,2,0.500,0,0,-,0,0,-,4,0.444,0,-,2,0.222,0,-,2,0.222,1
"Sargent, Greyson",Jr.,2008-09,G,6-5,10,1,3,0.333,1,3,0.333,2,2,1.000,1,0.100,1,0.100,0,-,1,0.100,5,0.500,1
"Sherrod, Jontae",So.,2008-09,G,6-2,28,44,98,0.449,17,43,0.395,10,19,0.526,39,1.393,40,1.429,0,-,18,0.643,115,4.107,39
"Steele, Matt",Fr.,2008-09,F,6-8,3,0,0,-,0,0,-,2,2,1.000,1,0.333,0,-,0,-,0,-,2,0.667,0
"Turner, Chris",Fr.,2008-09,G,6-5,29,34,113,0.301,12,37,0.324,16,32,0.500,56,1.931,25,0.862,1,0.034,12,0.414,96,3.310,24
"Wynn, Chad",So.,2008-09,C,6-10,29,87,147,0.592,0,0,-,30,51,0.588,117,4.034,11,0.379,39,1.345,13,0.448,204,7.034,38
"Young, Brock",So.,2008-09,G,5-11,30,98,257,0.381,23,70,0.329,99,118,0.839,113,3.767,227,7.567,1,0.033,39,1.300,318,10.600,93
