name,school_year,year,position,height,G,field_goals_made,field_goal_attempts,field_goal_percent,three_pointers_made,three_pointer_attempts,three_pointer_percent,free_throws_made,free_throws_attempts,free_throw_percent,rebounds,rebounds_average,assists,assists_average,blocks,blocks_average,steals,steals_average,points,points_average,turnovers
"Cisse, Ousmane",Jr.,2008-09,C,6-8,30,94,155,0.606,0,0,-,53,90,0.589,224,7.467,31,1.033,16,0.533,18,0.600,241,8.033,49
"Dorlack, Matt",So.,2008-09,C,6-11,29,10,22,0.455,0,0,-,11,18,0.611,56,1.931,4,0.138,9,0.310,0,-,31,1.069,13
"Granger, Jeremy",Fr.,2008-09,G,6-1,29,25,74,0.338,0,5,0.000,35,44,0.795,32,1.103,22,0.759,1,0.034,13,0.448,85,2.931,24
"Hamilton, Will",Fr.,2008-09,G,6-3,17,7,23,0.304,3,9,0.333,3,4,0.750,5,0.294,6,0.353,1,0.059,2,0.118,20,1.176,2
"Hollowell, James",Fr.,2008-09,F,6-5,4,6,11,0.545,0,0,-,3,5,0.600,15,3.750,2,0.500,0,-,2,0.500,15,3.750,3
"Laser, Tyler",So.,2008-09,G,6-1,30,122,260,0.469,48,118,0.407,50,52,0.962,86,2.867,93,3.100,3,0.100,29,0.967,342,11.400,53
"Marion, T.J.",Jr.,2008-09,G,6-4,30,98,223,0.439,0,1,0.000,74,110,0.673,126,4.200,105,3.500,15,0.500,25,0.833,270,9.000,77
"Martin, Romain",Jr.,2008-09,G,6-2,30,168,386,0.435,78,196,0.398,48,61,0.787,112,3.733,31,1.033,2,0.067,22,0.733,462,15.400,53
"Parrish, Billy",Sr.,2008-09,F,6-4,30,73,150,0.487,4,13,0.308,27,39,0.692,142,4.733,43,1.433,4,0.133,14,0.467,177,5.900,32
"Sanders, Zavier",Fr.,2008-09,F,6-6,18,5,20,0.250,0,0,-,12,19,0.632,13,0.722,1,0.056,0,-,2,0.111,22,1.222,4
"Smith, Jay",Jr.,2008-09,G,6-2,29,23,86,0.267,14,70,0.200,7,8,0.875,28,0.966,6,0.207,0,-,5,0.172,67,2.310,10
"Suljic, Edin",Jr.,2008-09,F,6-7,30,59,136,0.434,0,0,-,33,42,0.786,72,2.400,26,0.867,6,0.200,8,0.267,151,5.033,40
"Wright, Jr., Dewayne",Jr.,2008-09,G,5-10,28,16,53,0.302,7,16,0.438,14,23,0.609,18,0.643,16,0.571,0,-,9,0.321,53,1.893,18
