name,school_year,year,position,height,G,field_goals_made,field_goal_attempts,field_goal_percent,three_pointers_made,three_pointer_attempts,three_pointer_percent,free_throws_made,free_throws_attempts,free_throw_percent,rebounds,rebounds_average,assists,assists_average,blocks,blocks_average,steals,steals_average,points,points_average,turnovers
"Ambers, Jordan",So.,2008-09,C,5-11,10,0,3,0.000,0,2,0.000,5,8,0.625,3,0.300,4,0.400,0,-,0,-,5,0.500,7
"Cartwright, Bryce",Fr.,2008-09,G,5-11,34,58,155,0.374,17,65,0.262,34,46,0.739,60,1.765,109,3.206,2,0.059,27,0.794,167,4.912,68
"George, Paul",Fr.,2008-09,F,6-7,34,166,353,0.470,63,141,0.447,92,132,0.697,212,6.235,63,1.853,34,1.000,59,1.735,487,14.324,79
"Golubovic, Nedeljko",So.,2008-09,F,6-8,34,87,206,0.422,38,112,0.339,36,54,0.667,155,4.559,44,1.294,15,0.441,23,0.676,248,7.294,45
"Green, Myles",So.,2008-09,G,5-10,20,7,30,0.233,4,21,0.190,6,9,0.667,14,0.700,15,0.750,0,-,0,-,24,1.200,13
"Johnson, Justin",Fr.,2008-09,F,6-7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Kelly, Taylor",Fr.,2008-09,G,6-3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Ladd, Mychal",Fr.,2008-09,G,6-5,34,118,250,0.472,32,88,0.364,55,76,0.724,129,3.794,48,1.412,6,0.176,25,0.735,323,9.500,34
"O'Neil, Dwight",Sr.,2008-09,G,6-3,25,114,273,0.418,37,116,0.319,57,101,0.564,109,4.360,117,4.680,5,0.200,27,1.080,322,12.880,93
"Seals, Brian",Jr.,2008-09,F,6-8,29,27,48,0.563,0,0,-,11,17,0.647,69,2.379,4,0.138,20,0.690,3,0.103,65,2.241,17
"Seay, Sylvester",Jr.,2008-09,F,6-9,34,177,396,0.447,50,135,0.370,117,169,0.692,196,5.765,39,1.147,58,1.706,35,1.029,521,15.324,82
"Sperling, Brandon",Fr.,2008-09,G,6-3,34,24,68,0.353,3,21,0.143,29,40,0.725,62,1.824,36,1.059,9,0.265,19,0.559,80,2.353,25
"Webster, Brandon",So.,2008-09,C,6-10,28,25,50,0.500,0,0,-,7,17,0.412,36,1.286,3,0.107,12,0.429,5,0.179,57,2.036,20
