name,school_year,year,position,height,G,field_goals_made,field_goal_attempts,field_goal_percent,three_pointers_made,three_pointer_attempts,three_pointer_percent,free_throws_made,free_throws_attempts,free_throw_percent,rebounds,rebounds_average,assists,assists_average,blocks,blocks_average,steals,steals_average,points,points_average,turnovers
"Boehm, Peter",Fr.,2008-09,F,6-6,28,56,155,0.361,44,123,0.358,16,19,0.842,52,1.857,32,1.143,2,0.071,12,0.429,172,6.143,35
"Groszyk, Erik",Fr.,2008-09,-,-,2,0,0,-,0,0,-,0,0,-,0,-,0,-,0,-,0,-,0,-,0
"Harris, Evan",Sr.,2008-09,F,6-8,20,32,60,0.533,0,0,-,36,59,0.610,91,4.550,7,0.350,25,1.250,18,0.900,100,5.000,23
"Housman, Drew",Sr.,2008-09,G,5-11,28,80,171,0.468,24,57,0.421,84,107,0.785,63,2.250,77,2.750,0,-,33,1.179,268,9.571,40
"Kenyi, Max",Fr.,2008-09,G,6-4,26,45,124,0.363,16,50,0.320,40,56,0.714,44,1.692,14,0.538,12,0.462,25,0.962,146,5.615,40
"Lin, Jeremy",Jr.,2008-09,G,6-2,28,166,331,0.502,40,100,0.400,125,168,0.744,153,5.464,119,4.250,18,0.643,68,2.429,497,17.750,106
"Magnarelli, Pat",Jr.,2008-09,F,6-7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Martin, Hugh",Fr.,2008-09,F,6-5,5,1,2,0.500,0,0,-,1,2,0.500,4,0.800,0,-,0,-,0,-,3,0.600,2
"McGeary, Dan",Jr.,2008-09,G,6-1,18,20,62,0.323,15,51,0.294,4,5,0.800,16,0.889,11,0.611,0,-,6,0.333,59,3.278,9
"McNally, Oliver",Fr.,2008-09,G,6-3,28,50,120,0.417,15,42,0.357,51,68,0.750,65,2.321,45,1.607,0,-,23,0.821,166,5.929,32
"Miller, Doug",Jr.,2008-09,F,6-7,18,50,71,0.704,0,0,-,10,20,0.500,64,3.556,9,0.500,10,0.556,3,0.167,110,6.111,12
"Pusar, Andrew",Sr.,2008-09,G,6-2,25,62,118,0.525,19,49,0.388,17,27,0.630,54,2.160,24,0.960,4,0.160,10,0.400,160,6.400,34
"Swiatek, Peter",Fr.,2008-09,F,6-7,12,6,11,0.545,0,0,-,6,7,0.857,12,1.000,0,-,3,0.250,0,-,18,1.500,3
"Van Nest, Andrew",Fr.,2008-09,F,6-10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Wright, Keith",Fr.,2008-09,F,6-8,24,77,162,0.475,0,0,-,37,48,0.771,132,5.500,14,0.583,20,0.833,8,0.333,191,7.958,45
