name,school_year,year,position,height,G,field_goals_made,field_goal_attempts,field_goal_percent,three_pointers_made,three_pointer_attempts,three_pointer_percent,free_throws_made,free_throws_attempts,free_throw_percent,rebounds,rebounds_average,assists,assists_average,blocks,blocks_average,steals,steals_average,points,points_average,turnovers
"Calhoun, Qa'rraan",Jr.,2008-09,F,6-8,33,130,279,0.466,42,120,0.350,36,61,0.590,175,5.303,36,1.091,36,1.091,23,0.697,338,10.242,36
"Coleman, Aubrey",Jr.,2008-09,G,6-4,32,218,512,0.426,10,48,0.208,174,228,0.763,262,8.188,77,2.406,0,-,75,2.344,620,19.375,79
"Coleman, Sean",Jr.,2008-09,F,6-8,18,8,23,0.348,4,14,0.286,2,4,0.500,16,0.889,0,-,3,0.167,0,-,22,1.222,4
"Cousin, Marcus",Sr.,2008-09,C,6-11,33,128,254,0.504,0,1,0.000,105,138,0.761,276,8.364,22,0.667,69,2.091,15,0.455,361,10.939,37
"Dike, Bobby",Fr.,2008-09,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Hurns, Jason",Jr.,2008-09,F,6-4,2,0,0,-,0,0,-,0,0,-,0,-,0,-,0,-,0,-,0,-,0
"Lewis, Kelvin",Jr.,2008-09,G,6-4,33,195,473,0.412,93,252,0.369,111,133,0.835,108,3.273,43,1.303,5,0.152,51,1.545,594,18.000,47
"McGloster, Horace",So.,2008-09,F,6-7,25,17,44,0.386,4,22,0.182,11,17,0.647,31,1.240,9,0.360,8,0.320,3,0.120,49,1.960,5
"Mosley, Nick",Jr.,2008-09,C,6-9,29,23,48,0.479,0,0,-,29,33,0.879,71,2.448,4,0.138,12,0.414,9,0.310,75,2.586,12
"Moukoury, Yan",So.,2008-09,F,6-7,8,1,4,0.250,0,0,-,1,4,0.250,7,0.875,2,0.250,0,-,0,-,3,0.375,1
"Nixon, Zamal",So.,2008-09,G,6-1,30,57,147,0.388,22,66,0.333,36,47,0.766,31,1.033,49,1.633,2,0.067,20,0.667,172,5.733,30
"Pane, Brockeith",So.,2008-09,G,6-2,2,1,7,0.143,0,3,0.000,0,0,-,3,1.500,0,-,0,-,1,0.500,2,1.000,1
"Wade, Desmond",Fr.,2008-09,G,5-8,33,54,176,0.307,12,46,0.261,40,55,0.727,60,1.818,113,3.424,1,0.030,47,1.424,160,4.848,41
"Williams, DaShaun",Sr.,2008-09,G,6-3,32,40,96,0.417,6,26,0.231,17,33,0.515,82,2.563,44,1.375,1,0.031,23,0.719,103,3.219,26
"Wilson, Jamon",Jr.,2008-09,G,6-3,5,1,1,1.000,0,0,-,0,0,-,0,-,0,-,0,-,0,-,2,0.400,0
