name,school_year,year,position,height,G,field_goals_made,field_goal_attempts,field_goal_percent,three_pointers_made,three_pointer_attempts,three_pointer_percent,free_throws_made,free_throws_attempts,free_throw_percent,rebounds,rebounds_average,assists,assists_average,blocks,blocks_average,steals,steals_average,points,points_average,turnovers
"Barlow, Keenan",Fr.,2008-09,F,6-5,16,8,24,0.333,6,15,0.400,4,6,0.667,12,0.750,3,0.188,0,-,1,0.063,26,1.625,6
"Carter, Aaron",So.,2008-09,G,6-4,32,74,180,0.411,33,93,0.355,62,76,0.816,95,2.969,32,1.000,3,0.094,14,0.438,243,7.594,47
"Crawford, Josh",Jr.,2008-09,C,6-11,29,41,95,0.432,8,22,0.364,16,24,0.667,72,2.483,9,0.310,26,0.897,10,0.345,106,3.655,30
"Cutter, Tyler",Fr.,2008-09,G,6-1,17,7,30,0.233,3,15,0.200,15,22,0.682,15,0.882,32,1.882,2,0.118,10,0.588,32,1.882,31
"Doluony, Koang",Fr.,2008-09,F,6-7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Donaldson, Nick",Fr.,2008-09,G,6-3,7,1,3,0.333,0,2,0.000,0,0,-,3,0.429,1,0.143,0,-,1,0.143,2,0.286,1
"Lathan, Dwayne",So.,2008-09,G,6-3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Leitnaker, Brant",So.,2008-09,C,6-10,24,17,46,0.370,0,0,-,16,22,0.727,39,1.625,5,0.208,6,0.250,3,0.125,50,2.083,12
"Marshall, Harry",Jr.,2008-09,G,6-0,22,96,237,0.405,22,86,0.256,86,113,0.761,77,3.500,94,4.273,0,-,19,0.864,300,13.636,76
"Martin, Isiah",So.,2008-09,F,6-8,23,36,68,0.529,0,0,-,20,35,0.571,66,2.870,5,0.217,24,1.043,6,0.261,92,4.000,15
"Printy, Jordan",Fr.,2008-09,G,6-4,32,75,199,0.377,49,138,0.355,21,27,0.778,67,2.094,59,1.844,6,0.188,24,0.750,220,6.875,41
"Reed, Rashad",Jr.,2008-09,G,6-1,32,119,301,0.395,60,167,0.359,55,76,0.724,102,3.188,78,2.438,2,0.063,40,1.250,353,11.031,76
"Richard, Carl",Fr.,2008-09,G,6-4,32,67,187,0.358,11,40,0.275,49,68,0.721,192,6.000,19,0.594,14,0.438,18,0.563,194,6.063,56
"Tunnell, Jay",Sr.,2008-09,F,6-8,32,133,270,0.493,49,115,0.426,86,121,0.711,199,6.219,41,1.281,8,0.250,20,0.625,401,12.531,59
