name,school_year,year,position,height,G,field_goals_made,field_goal_attempts,field_goal_percent,three_pointers_made,three_pointer_attempts,three_pointer_percent,free_throws_made,free_throws_attempts,free_throw_percent,rebounds,rebounds_average,assists,assists_average,blocks,blocks_average,steals,steals_average,points,points_average,turnovers
"Baker, Brandon",So.,2008-09,C,7-0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Burk, Cason",Fr.,2008-09,-,-,33,21,48,0.438,1,2,0.500,19,36,0.528,91,2.758,28,0.848,7,0.212,11,0.333,62,1.879,22
"Caldwell, Jeremy",Sr.,2008-09,C,6-8,33,133,228,0.583,3,8,0.375,116,156,0.744,222,6.727,32,0.970,23,0.697,33,1.000,385,11.667,80
"Davis, Jerome",So.,2008-09,C,6-2,9,0,4,0.000,0,2,0.000,0,0,-,1,0.111,1,0.111,0,-,0,-,0,-,0
"Dixon, De'Suan",So.,2008-09,G,6-3,33,35,94,0.372,5,29,0.172,26,51,0.510,74,2.242,43,1.303,6,0.182,12,0.364,101,3.061,30
"Ford, Dashawn",Fr.,2008-09,-,-,1,0,0,-,0,0,-,0,0,-,0,-,0,-,0,-,0,-,0,-,1
"Ford, Dashawn",Fr.,2008-09,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Ford, Deshawn",Sr.,2008-09,F,6-7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Griffin, Darrion",Sr.,2008-09,G,6-3,33,159,320,0.497,16,60,0.267,156,213,0.732,188,5.697,94,2.848,5,0.152,45,1.364,490,14.848,79
"Huggins, Daniel",Jr.,2008-09,G,6-3,16,8,34,0.235,3,24,0.125,5,7,0.714,14,0.875,3,0.188,0,-,7,0.438,24,1.500,9
"Hyche, Chris",So.,2008-09,G,6-5,20,28,65,0.431,7,23,0.304,3,14,0.214,22,1.100,4,0.200,4,0.200,3,0.150,66,3.300,12
"Jefferson, Oliver",Fr.,2008-09,-,-,4,1,3,0.333,0,0,-,0,0,-,2,0.500,0,-,1,0.250,0,-,2,0.500,1
"Johnson, Garrison",Jr.,2008-09,F,6-6,31,118,276,0.428,29,88,0.330,66,87,0.759,91,2.935,29,0.935,6,0.194,18,0.581,331,10.677,52
"Jones, Marcus",Sr.,2008-09,C,6-8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Martinez, Kay",Jr.,2008-09,G,6-1,24,15,71,0.211,4,38,0.105,4,5,0.800,26,1.083,3,0.125,1,0.042,7,0.292,38,1.583,13
"Maxey, Grant",Jr.,2008-09,F,6-7,33,198,435,0.455,42,126,0.333,103,132,0.780,220,6.667,76,2.303,29,0.879,52,1.576,541,16.394,99
"Melvin, Rod",Fr.,2008-09,-,-,33,55,145,0.379,13,51,0.255,36,47,0.766,88,2.667,111,3.364,6,0.182,37,1.121,159,4.818,71
"Russell, Kenny",Fr.,2008-09,-,-,23,18,58,0.310,3,20,0.150,10,23,0.435,27,1.174,10,0.435,3,0.130,5,0.217,49,2.130,16
"Swanier, Kyle",Jr.,2008-09,G,6-1,5,0,3,0.000,0,2,0.000,1,2,0.500,1,0.200,0,-,0,-,0,-,1,0.200,2
"White, Kevin",Jr.,2008-09,G,6-1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Williams, Phillip",Fr.,2008-09,-,-,32,17,67,0.254,9,30,0.300,15,22,0.682,32,1.000,18,0.563,0,-,10,0.313,58,1.813,28
"Xx,",Fr.,2008-09,-,-,1,0,0,-,0,0,-,0,0,-,0,-,0,-,0,-,0,-,0,-,0
