name,school_year,year,position,height,G,field_goals_made,field_goal_attempts,field_goal_percent,three_pointers_made,three_pointer_attempts,three_pointer_percent,free_throws_made,free_throws_attempts,free_throw_percent,rebounds,rebounds_average,assists,assists_average,blocks,blocks_average,steals,steals_average,points,points_average,turnovers
"Aldrich, Cole",So.,2008-09,C,6-11,35,199,333,0.598,0,0,-,122,154,0.792,387,11.057,36,1.029,94,2.686,21,0.600,520,14.857,56
"Appleton, Tyrone",Jr.,2008-09,G,6-2,21,7,13,0.538,0,0,-,3,6,0.500,7,0.333,7,0.333,1,0.048,1,0.048,17,0.810,9
"Bechard, Brennan",Sr.,2008-09,G,6-0,11,0,6,0.000,0,4,0.000,1,2,0.500,1,0.091,2,0.182,0,-,0,-,1,0.091,0
"Buford, Chase",So.,2008-09,G,6-3,11,2,4,0.500,0,1,0.000,0,0,-,6,0.545,0,-,0,-,0,-,4,0.364,1
"Collins, Sherron",Jr.,2008-09,G,5-11,35,226,521,0.434,77,205,0.376,132,166,0.795,101,2.886,174,4.971,0,-,39,1.114,661,18.886,115
"Juenemann, Jordan",Fr.,2008-09,G,6-4,5,0,1,0.000,0,0,-,0,0,-,0,-,0,-,0,-,0,-,0,-,1
"Kleinmann, Matt",Sr.,2008-09,C,6-10,17,3,5,0.600,0,0,-,1,3,0.333,11,0.647,0,-,2,0.118,0,-,7,0.412,2
"Little, Mario",Jr.,2008-09,G,6-5,23,42,82,0.512,3,8,0.375,20,32,0.625,73,3.174,20,0.870,4,0.174,11,0.478,107,4.652,18
"Morningstar, Brady",So.,2008-09,G,6-3,35,78,186,0.419,50,119,0.420,23,29,0.793,104,2.971,92,2.629,5,0.143,43,1.229,229,6.543,47
"Morris, Markieff",Fr.,2008-09,C,6-9,35,60,134,0.448,3,16,0.188,39,60,0.650,155,4.429,34,0.971,25,0.714,14,0.400,162,4.629,43
"Morris, Marcus",Fr.,2008-09,F,6-8,35,94,190,0.495,6,15,0.400,64,106,0.604,166,4.743,38,1.086,12,0.343,36,1.029,258,7.371,57
"Reed, Tyrel",So.,2008-09,G,6-3,35,66,162,0.407,49,126,0.389,47,57,0.825,65,1.857,37,1.057,0,-,24,0.686,228,6.514,36
"Releford, Travis",Fr.,2008-09,G,6-5,32,33,58,0.569,3,8,0.375,17,32,0.531,45,1.406,6,0.188,0,-,8,0.250,86,2.688,22
"Taylor, Tyshawn",Fr.,2008-09,G,6-3,35,120,237,0.506,24,66,0.364,76,105,0.724,76,2.171,104,2.971,8,0.229,38,1.086,340,9.714,83
"Teahan, Conner",So.,2008-09,G,6-5,21,4,22,0.182,2,17,0.118,5,5,1.000,18,0.857,3,0.143,0,-,3,0.143,15,0.714,4
"Thomas, Quintrell",Fr.,2008-09,F,6-7,26,11,25,0.440,0,0,-,17,25,0.680,51,1.962,2,0.077,4,0.154,1,0.038,39,1.500,13
