name,school_year,year,position,height,G,field_goals_made,field_goal_attempts,field_goal_percent,three_pointers_made,three_pointer_attempts,three_pointer_percent,free_throws_made,free_throws_attempts,free_throw_percent,rebounds,rebounds_average,assists,assists_average,blocks,blocks_average,steals,steals_average,points,points_average,turnovers
"Asbury, Brian",Sr.,2008-09,F,6-7,32,90,210,0.429,16,65,0.246,60,79,0.759,161,5.031,39,1.219,15,0.469,30,0.938,256,8.000,39
"Collins, Dwayne",Jr.,2008-09,F,6-8,31,109,193,0.565,0,0,-,112,192,0.583,227,7.323,41,1.323,11,0.355,31,1.000,330,10.645,59
"Dews, James",Jr.,2008-09,G,6-4,32,94,239,0.393,44,132,0.333,31,41,0.756,86,2.688,43,1.344,4,0.125,25,0.781,263,8.219,29
"Gamble, Julian",Fr.,2008-09,C,6-9,24,20,46,0.435,0,0,-,17,29,0.586,61,2.542,8,0.333,14,0.583,3,0.125,57,2.375,4
"Graham, Jimmy",Sr.,2008-09,F,6-8,30,51,105,0.486,0,0,-,18,45,0.400,177,5.900,19,0.633,36,1.200,18,0.600,120,4.000,32
"Grant, Malcolm",So.,2008-09,G,6-1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Hurdle, Lance",Sr.,2008-09,G,6-2,31,73,210,0.348,28,82,0.341,52,77,0.675,49,1.581,89,2.871,4,0.129,20,0.645,226,7.290,46
"Johnson, Reggie",Fr.,2008-09,C,6-9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Jones, DeQuan",Fr.,2008-09,F,6-6,32,33,98,0.337,1,13,0.077,19,30,0.633,55,1.719,15,0.469,12,0.375,10,0.313,86,2.688,30
"McClinton, Jack",Sr.,2008-09,G,6-1,32,200,445,0.449,101,223,0.453,116,131,0.885,99,3.094,91,2.844,1,0.031,24,0.750,617,19.281,84
"McGowan, Cyrus",Jr.,2008-09,F,6-9,32,46,123,0.374,10,31,0.323,45,64,0.703,140,4.375,15,0.469,19,0.594,10,0.313,147,4.594,42
"Quigtar, Ryan",Fr.,2008-09,-,-,3,0,1,0.000,0,0,-,0,0,-,0,-,0,-,0,-,0,-,0,-,0
"Rios, Eddie",So.,2008-09,G,6-0,13,21,48,0.438,11,24,0.458,8,12,0.667,18,1.385,17,1.308,1,0.077,4,0.308,61,4.692,19
"Thomas, Adrian",Jr.,2008-09,F,6-7,32,59,147,0.401,40,112,0.357,4,6,0.667,74,2.313,29,0.906,5,0.156,19,0.594,162,5.063,33
"Warren, Mark",Fr.,2008-09,-,-,1,0,0,-,0,0,-,0,0,-,0,-,0,-,0,-,0,-,0,-,0
"Warren, Mark",Fr.,2008-09,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
