name,school_year,year,position,height,G,field_goals_made,field_goal_attempts,field_goal_percent,three_pointers_made,three_pointer_attempts,three_pointer_percent,free_throws_made,free_throws_attempts,free_throw_percent,rebounds,rebounds_average,assists,assists_average,blocks,blocks_average,steals,steals_average,points,points_average,turnovers
"Anderson, Darion",So.,2008-09,G,6-2,29,159,383,0.415,46,124,0.371,127,189,0.672,157,5.414,70,2.414,4,0.138,46,1.586,491,16.931,92
"DiNunno, Mike",Fr.,2008-09,G,5-11,30,114,324,0.352,59,174,0.339,71,97,0.732,65,2.167,79,2.633,0,-,44,1.467,358,11.933,83
"Dzepina, Ante",Jr.,2008-09,C,6-8,30,38,66,0.576,0,0,-,27,50,0.540,80,2.667,4,0.133,7,0.233,8,0.267,103,3.433,23
"Ervin, Najul",Jr.,2008-09,F,6-5,30,45,90,0.500,0,3,0.000,11,37,0.297,134,4.467,30,1.000,16,0.533,37,1.233,101,3.367,36
"Fakuade, Michael",Fr.,2008-09,C,6-8,20,24,38,0.632,0,0,-,13,28,0.464,60,3.000,9,0.450,18,0.900,3,0.150,61,3.050,15
"Fisher, Lee",Fr.,2008-09,F,6-5,28,17,46,0.370,0,0,-,15,28,0.536,62,2.214,8,0.286,7,0.250,9,0.321,49,1.750,27
"Hall, Bryan",Fr.,2008-09,G,6-1,29,19,40,0.475,0,1,0.000,3,14,0.214,34,1.172,46,1.586,3,0.103,20,0.690,41,1.414,25
"Kowal, Sean",So.,2008-09,C,6-11,29,114,207,0.551,0,0,-,46,93,0.495,150,5.172,22,0.759,22,0.759,10,0.345,274,9.448,35
"Landers, Jeremy",So.,2008-09,G,6-2,27,14,56,0.250,5,22,0.227,15,29,0.517,28,1.037,18,0.667,2,0.074,16,0.593,48,1.778,33
"Patton, Michael",So.,2008-09,G,5-10,25,33,115,0.287,26,79,0.329,17,25,0.680,21,0.840,19,0.760,0,-,15,0.600,109,4.360,27
"Peaster, Michael",Fr.,2008-09,G,5-11,7,2,3,0.667,2,3,0.667,1,2,0.500,1,0.143,2,0.286,0,-,0,-,7,1.000,0
"Silas, Xavier",Jr.,2008-09,G,6-5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Smith, Sean",Sr.,2008-09,F,6-7,29,92,208,0.442,29,73,0.397,28,43,0.651,97,3.345,48,1.655,11,0.379,25,0.862,241,8.310,51
"Smith, Keith",Fr.,2008-09,G,5-5,1,0,0,-,0,0,-,0,0,-,0,-,0,-,0,-,0,-,0,-,0
"Storm, Tyler",Fr.,2008-09,F,6-7,28,33,92,0.359,18,54,0.333,18,27,0.667,44,1.571,18,0.643,4,0.143,6,0.214,102,3.643,32
