name,school_year,year,position,height,G,field_goals_made,field_goal_attempts,field_goal_percent,three_pointers_made,three_pointer_attempts,three_pointer_percent,free_throws_made,free_throws_attempts,free_throw_percent,rebounds,rebounds_average,assists,assists_average,blocks,blocks_average,steals,steals_average,points,points_average,turnovers
"Ford, Marquis",Sr.,2008-09,G,5-10,29,89,216,0.412,33,92,0.359,56,81,0.691,110,3.793,73,2.517,1,0.034,28,0.966,267,9.207,67
"Hoffman, Kurt",Jr.,2008-09,F,6-6,29,45,91,0.495,0,2,0.000,36,51,0.706,114,3.931,19,0.655,10,0.345,14,0.483,126,4.345,36
"Jackson, Kyle",Sr.,2008-09,G,6-3,26,51,104,0.490,10,25,0.400,34,39,0.872,76,2.923,30,1.154,5,0.192,21,0.808,146,5.615,38
"Jukic, Mislav",Jr.,2008-09,F,6-7,29,113,239,0.473,4,12,0.333,72,96,0.750,138,4.759,32,1.103,21,0.724,10,0.345,302,10.414,73
"McFarland, Chris",Jr.,2008-09,G,6-0,12,3,9,0.333,0,0,-,1,2,0.500,9,0.750,3,0.250,0,-,1,0.083,7,0.583,9
"Nelson, Cale",Sr.,2008-09,G,5-10,29,74,203,0.365,45,140,0.321,34,41,0.829,50,1.724,146,5.034,1,0.034,35,1.207,227,7.828,89
"Orandi, Sorena",So.,2008-09,G,6-0,23,15,50,0.300,2,13,0.154,6,8,0.750,18,0.783,20,0.870,1,0.043,4,0.174,38,1.652,17
"Profeta, Steve",Sr.,2008-09,G,6-5,28,31,85,0.365,18,53,0.340,24,30,0.800,65,2.321,22,0.786,4,0.143,21,0.750,104,3.714,22
"Spaid, Randy",Jr.,2008-09,F,6-8,18,10,20,0.500,0,0,-,6,11,0.545,23,1.278,1,0.056,3,0.167,2,0.111,26,1.444,6
"Surprenant, Grant",Sr.,2008-09,G,6-5,29,56,139,0.403,38,100,0.380,4,5,0.800,43,1.483,20,0.690,1,0.034,11,0.379,154,5.310,24
"Sweetney, Devin",Jr.,2008-09,G,6-6,23,131,294,0.446,17,77,0.221,95,139,0.683,181,7.870,25,1.087,9,0.391,30,1.304,374,16.261,70
