name,school_year,year,position,height,G,field_goals_made,field_goal_attempts,field_goal_percent,three_pointers_made,three_pointer_attempts,three_pointer_percent,free_throws_made,free_throws_attempts,free_throw_percent,rebounds,rebounds_average,assists,assists_average,blocks,blocks_average,steals,steals_average,points,points_average,turnovers
"Allmond, Corey",Jr.,2008-09,G,6-1,30,155,354,0.438,99,227,0.436,50,61,0.820,77,2.567,79,2.633,0,-,39,1.300,459,15.300,56
"Bootle, Antuan",So.,2008-09,C,6-7,27,18,36,0.500,0,0,-,5,10,0.500,60,2.222,8,0.296,3,0.111,2,0.074,41,1.519,12
"Brown, Preston",Jr.,2008-09,F,6-6,30,108,231,0.468,20,52,0.385,60,86,0.698,146,4.867,23,0.767,22,0.733,10,0.333,296,9.867,36
"Cooper, Mario",Fr.,2008-09,F,6-7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Crow, Josten",So.,2008-09,F,6-4,22,33,72,0.458,4,16,0.250,22,39,0.564,79,3.591,26,1.182,2,0.091,22,1.000,92,4.182,22
"Falkner, Barkley",Sr.,2008-09,C,6-8,30,94,177,0.531,7,18,0.389,66,105,0.629,243,8.100,34,1.133,12,0.400,25,0.833,261,8.700,56
"Kvedys, Dominykas",Sr.,2008-09,C,6-10,24,10,35,0.286,0,9,0.000,14,22,0.636,43,1.792,7,0.292,11,0.458,1,0.042,34,1.417,12
"Mitchell, Ashton",Jr.,2008-09,G,5-10,30,105,254,0.413,29,99,0.293,135,170,0.794,113,3.767,205,6.833,6,0.200,52,1.733,374,12.467,106
"Murray, Drae",Fr.,2008-09,G,5-10,30,51,131,0.389,31,82,0.378,28,38,0.737,39,1.300,63,2.100,2,0.067,29,0.967,161,5.367,35
"Pevehouse, Lance",So.,2008-09,G,6-2,30,81,200,0.405,50,136,0.368,60,85,0.706,65,2.167,43,1.433,5,0.167,30,1.000,272,9.067,30
"Ramirez, DeLuis",Sr.,2008-09,G,6-4,30,95,188,0.505,1,11,0.091,51,79,0.646,164,5.467,50,1.667,6,0.200,24,0.800,242,8.067,65
"Thompson, Kendrell",So.,2008-09,G,5-3,23,7,25,0.280,2,9,0.222,9,16,0.563,17,0.739,3,0.130,0,-,5,0.217,25,1.087,9
"Zulu, Arthur",Jr.,2008-09,F,6-8,18,11,23,0.478,0,0,-,0,2,0.000,24,1.333,5,0.278,5,0.278,4,0.222,22,1.222,8
