name,school_year,year,position,height,G,field_goals_made,field_goal_attempts,field_goal_percent,three_pointers_made,three_pointer_attempts,three_pointer_percent,free_throws_made,free_throws_attempts,free_throw_percent,rebounds,rebounds_average,assists,assists_average,blocks,blocks_average,steals,steals_average,points,points_average,turnovers
"Ajayi, Mobolaji",Sr.,2008-09,F,6-9,18,27,59,0.458,0,0,-,12,27,0.444,84,4.667,7,0.389,5,0.278,4,0.222,66,3.667,17
"Belardo, Gaby",Fr.,2008-09,G,6-2,18,3,14,0.214,2,7,0.286,5,6,0.833,9,0.500,1,0.056,0,-,3,0.167,13,0.722,1
"Daniels, B.J.",Fr.,2008-09,G,6-1,19,3,14,0.214,0,2,0.000,4,11,0.364,7,0.368,1,0.053,0,-,4,0.211,10,0.526,8
"Emory, Mitch",Fr.,2008-09,F,6-6,1,0,0,-,0,0,-,0,2,0.000,1,1.000,0,-,1,1.000,0,-,0,-,0
"Espinosa, Eladio",Fr.,2008-09,F,6-7,31,22,50,0.440,0,9,0.000,11,25,0.440,91,2.935,9,0.290,8,0.258,6,0.194,55,1.774,26
"Gilchrist, Augustus",Fr.,2008-09,F,6-10,25,99,245,0.404,14,43,0.326,43,77,0.558,111,4.440,12,0.480,24,0.960,7,0.280,255,10.200,42
"Howard, Chris",Jr.,2008-09,G,6-3,31,78,213,0.366,22,65,0.338,62,99,0.626,120,3.871,128,4.129,5,0.161,34,1.097,240,7.742,70
"Jones, Dominique",So.,2008-09,G,6-4,31,193,461,0.419,54,175,0.309,121,171,0.708,173,5.581,122,3.935,12,0.387,41,1.323,561,18.097,82
"Kardok, Ryan",Fr.,2008-09,G,6-3,9,0,2,0.000,0,1,0.000,0,0,-,4,0.444,1,0.111,1,0.111,0,-,0,-,0
"Leemo, Justin",Fr.,2008-09,G,6-1,31,16,76,0.211,14,58,0.241,5,11,0.455,39,1.258,37,1.194,1,0.032,18,0.581,51,1.645,21
"Mercer, Mike",Jr.,2008-09,G,6-4,4,16,46,0.348,1,14,0.071,1,3,0.333,8,2.000,6,1.500,0,-,6,1.500,34,8.500,7
"Rivas, Alex",Jr.,2008-09,C,6-10,30,49,92,0.533,0,0,-,27,47,0.574,140,4.667,3,0.100,15,0.500,18,0.600,125,4.167,36
"Verdejo, Jesus",Sr.,2008-09,G,6-4,27,117,311,0.376,50,154,0.325,45,67,0.672,80,2.963,53,1.963,0,-,13,0.481,329,12.185,49
"Williams, Aris",Sr.,2008-09,F,6-9,31,40,77,0.519,0,0,-,11,34,0.324,106,3.419,5,0.161,12,0.387,8,0.258,91,2.935,20
