name,school_year,year,position,height,G,field_goals_made,field_goal_attempts,field_goal_percent,three_pointers_made,three_pointer_attempts,three_pointer_percent,free_throws_made,free_throws_attempts,free_throw_percent,rebounds,rebounds_average,assists,assists_average,blocks,blocks_average,steals,steals_average,points,points_average,turnovers
"Adedeji, Desmond",Jr.,2008-09,C,6-9,15,17,45,0.378,0,0,-,10,27,0.370,37,2.467,3,0.200,13,0.867,3,0.200,44,2.933,13
"Brenton, Tommy",Fr.,2008-09,F,6-5,30,65,131,0.496,8,20,0.400,62,104,0.596,266,8.867,50,1.667,16,0.533,53,1.767,200,6.667,40
"Carter, Danny",Fr.,2008-09,C,6-9,22,26,62,0.419,6,25,0.240,7,10,0.700,40,1.818,8,0.364,9,0.409,8,0.364,65,2.955,16
"Castellanos, Eddie",Jr.,2008-09,G,6-1,15,5,20,0.250,0,1,0.000,6,11,0.545,14,0.933,13,0.867,0,-,10,0.667,16,1.067,19
"Cox, Marques",Sr.,2008-09,G,6-1,29,14,37,0.378,2,11,0.182,15,26,0.577,75,2.586,46,1.586,0,-,49,1.690,45,1.552,23
"Dougher, Bryan",Fr.,2008-09,G,6-1,30,103,308,0.334,66,182,0.363,63,81,0.778,48,1.600,57,1.900,3,0.100,31,1.033,335,11.167,50
"El-Amin, Muhammad",Jr.,2008-09,G,6-5,29,159,364,0.437,48,125,0.384,88,107,0.822,100,3.448,34,1.172,2,0.069,18,0.621,454,15.655,64
"Goba, Andrew",Jr.,2008-09,C,6-9,27,8,24,0.333,0,0,-,7,10,0.700,32,1.185,1,0.037,2,0.074,6,0.222,23,0.852,8
"Joyner, Dallis",Fr.,2008-09,F,6-7,30,80,195,0.410,0,0,-,29,62,0.468,110,3.667,15,0.500,17,0.567,23,0.767,189,6.300,50
"Martin, Chris",So.,2008-09,G,6-1,27,75,193,0.389,13,36,0.361,70,95,0.737,70,2.593,43,1.593,2,0.074,23,0.852,233,8.630,54
"Moore, Jonathan",Jr.,2008-09,G,6-0,14,17,72,0.236,15,55,0.273,9,14,0.643,21,1.500,7,0.500,0,-,10,0.714,58,4.143,10
"Paul, Jermol",So.,2008-09,F,6-4,4,1,9,0.111,0,5,0.000,0,1,0.000,3,0.750,1,0.250,0,-,0,-,2,0.500,0
"Tyree, Michael",Sr.,2008-09,G,5-11,10,13,40,0.325,7,24,0.292,5,6,0.833,6,0.600,2,0.200,0,-,5,0.500,38,3.800,7
"Young, Demetrius",Sr.,2008-09,F,6-6,27,100,155,0.645,9,15,0.600,37,47,0.787,120,4.444,15,0.556,13,0.481,19,0.704,246,9.111,21
"Zylinski, Michal",Sr.,2008-09,F,6-4,2,1,3,0.333,1,1,1.000,0,0,-,1,0.500,0,-,1,0.500,0,-,3,1.500,0
