name,school_year,year,position,height,G,field_goals_made,field_goal_attempts,field_goal_percent,three_pointers_made,three_pointer_attempts,three_pointer_percent,free_throws_made,free_throws_attempts,free_throw_percent,rebounds,rebounds_average,assists,assists_average,blocks,blocks_average,steals,steals_average,points,points_average,turnovers
"Devendorf, Eric",Jr.,2008-09,G,6-4,36,193,435,0.444,82,210,0.390,97,122,0.795,71,1.972,108,3.000,12,0.333,38,1.056,565,15.694,107
"Drew, Kevin",Fr.,2008-09,G,6-2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Flynn, Jonny",So.,2008-09,G,6-0,38,219,476,0.460,45,142,0.317,180,229,0.786,104,2.737,254,6.684,6,0.158,54,1.421,663,17.447,129
"Harris, Paul",Jr.,2008-09,F,6-5,37,154,312,0.494,10,44,0.227,127,168,0.756,298,8.054,80,2.162,26,0.703,38,1.027,445,12.027,78
"Jackson, Rick",So.,2008-09,F,6-9,38,139,223,0.623,0,1,0.000,37,77,0.481,219,5.763,36,0.947,60,1.579,34,0.895,315,8.289,60
"Jardine, Scoop",So.,2008-09,G,6-1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Jones, Mookie",Fr.,2008-09,G,6-6,9,14,31,0.452,7,22,0.318,2,3,0.667,12,1.333,4,0.444,2,0.222,5,0.556,37,4.111,4
"Joseph, Kris",Fr.,2008-09,F,6-7,34,44,103,0.427,7,26,0.269,21,52,0.404,81,2.382,17,0.500,8,0.235,30,0.882,116,3.412,27
"Ongenaet, Kristof",Sr.,2008-09,F,6-8,34,35,74,0.473,0,6,0.000,34,59,0.576,162,4.765,42,1.235,19,0.559,24,0.706,104,3.059,31
"Onuaku, Arinze",Jr.,2008-09,C,6-9,38,178,267,0.667,0,0,-,37,124,0.298,276,7.263,23,0.605,53,1.395,18,0.474,393,10.342,59
"Presutti, Jake",Sr.,2008-09,G,6-3,16,3,8,0.375,3,8,0.375,0,0,-,1,0.063,1,0.063,0,-,0,-,9,0.563,1
"Rautins, Andy",Jr.,2008-09,G,6-5,37,126,332,0.380,102,279,0.366,33,45,0.733,123,3.324,112,3.027,6,0.162,52,1.405,387,10.459,73
"Reese, Brandon",Fr.,2008-09,G,5-10,16,2,7,0.286,0,2,0.000,2,3,0.667,6,0.375,7,0.438,0,-,3,0.188,6,0.375,3
"Thomas, Justin",Sr.,2008-09,G,6-1,12,3,7,0.429,0,3,0.000,0,2,0.000,2,0.167,0,-,1,0.083,0,-,6,0.500,2
"Williams, Sean",So.,2008-09,C,6-10,12,0,2,0.000,0,0,-,0,0,-,4,0.333,3,0.250,1,0.083,0,-,0,-,2
