name,school_year,year,position,height,G,field_goals_made,field_goal_attempts,field_goal_percent,three_pointers_made,three_pointer_attempts,three_pointer_percent,free_throws_made,free_throws_attempts,free_throw_percent,rebounds,rebounds_average,assists,assists_average,blocks,blocks_average,steals,steals_average,points,points_average,turnovers
"Akinpetide, Femi",Fr.,2008-09,F,6-6,27,10,26,0.385,1,3,0.333,11,17,0.647,23,0.852,2,0.074,1,0.037,0,-,32,1.185,10
"Brady, Daniel",So.,2008-09,F,6-7,27,8,18,0.444,0,0,-,2,6,0.333,40,1.481,10,0.370,2,0.074,4,0.148,18,0.667,14
"Brumagin, Dane",Sr.,2008-09,F,6-4,28,143,320,0.447,52,147,0.354,89,110,0.809,100,3.571,30,1.071,4,0.143,38,1.357,427,15.250,42
"Couisnard, Jay",Jr.,2008-09,F,6-6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Crites, Brandon",Jr.,2008-09,G,6-1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Dibble, Dustin",Fr.,2008-09,G,6-4,30,33,103,0.320,8,38,0.211,33,41,0.805,48,1.600,18,0.600,2,0.067,9,0.300,107,3.567,27
"Ford, Fred",Fr.,2008-09,G,5-11,28,38,118,0.322,8,39,0.205,21,28,0.750,52,1.857,51,1.821,3,0.107,20,0.714,105,3.750,49
"Hamilton, Reggie",So.,2008-09,G,6-0,21,83,220,0.377,34,100,0.340,65,88,0.739,56,2.667,75,3.571,0,-,31,1.476,265,12.619,69
"Humphrey, James",So.,2008-09,F,6-7,28,40,104,0.385,5,25,0.200,27,46,0.587,86,3.071,14,0.500,17,0.607,10,0.357,112,4.000,36
"Inyard, Patrick",Fr.,2008-09,-,-,6,0,1,0.000,0,0,-,0,0,-,4,0.667,0,-,0,-,0,-,0,-,0
"Johnson, Spencer",So.,2008-09,F,6-6,31,125,260,0.481,22,74,0.297,61,84,0.726,205,6.613,17,0.548,9,0.290,25,0.806,333,10.742,38
"Lewis, Bakari",So.,2008-09,G,6-1,20,72,183,0.393,22,58,0.379,49,66,0.742,42,2.100,51,2.550,7,0.350,22,1.100,215,10.750,43
"McKinney-Jones, Trey",Fr.,2008-09,G,6-4,31,40,98,0.408,7,33,0.212,24,42,0.571,94,3.032,39,1.258,1,0.032,14,0.452,111,3.581,26
"Mushatt, Latreze",Fr.,2008-09,F,6-5,31,110,291,0.378,16,62,0.258,47,77,0.610,169,5.452,33,1.065,9,0.290,35,1.129,283,9.129,50
