name,school_year,year,position,height,G,field_goals_made,field_goal_attempts,field_goal_percent,three_pointers_made,three_pointer_attempts,three_pointer_percent,free_throws_made,free_throws_attempts,free_throw_percent,rebounds,rebounds_average,assists,assists_average,blocks,blocks_average,steals,steals_average,points,points_average,turnovers
"Ahelegbe, Kwadzo",So.,2008-09,G,6-2,34,124,300,0.413,23,64,0.359,130,167,0.778,93,2.735,106,3.118,2,0.059,14,0.412,401,11.794,82
"Brown, Travis",Sr.,2008-09,G,6-3,34,53,130,0.408,29,79,0.367,38,45,0.844,81,2.382,19,0.559,2,0.059,6,0.176,173,5.088,32
"Dunham, Kerwin",So.,2008-09,G,6-6,34,40,93,0.430,18,43,0.419,31,38,0.816,53,1.559,24,0.706,0,-,11,0.324,129,3.794,17
"Eglseder, Jordan",Jr.,2008-09,C,7-1,34,148,253,0.585,2,15,0.133,48,72,0.667,219,6.441,22,0.647,44,1.294,5,0.147,346,10.176,44
"Farokhmanesh, Ali",Jr.,2008-09,G,6-0,34,108,266,0.406,75,198,0.379,36,46,0.783,64,1.882,53,1.559,0,-,15,0.441,327,9.618,38
"Haak, Brian",Jr.,2008-09,G,6-0,24,5,20,0.250,3,12,0.250,8,10,0.800,17,0.708,11,0.458,1,0.042,7,0.292,21,0.875,5
"James, Anthony",Fr.,2008-09,G,6-0,1,1,3,0.333,0,2,0.000,0,0,-,0,-,0,-,0,-,0,-,2,2.000,0
"Kelly, Colten",Fr.,2008-09,G,6-1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Koch, Jake",Fr.,2008-09,F,6-8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Koch, Adam",Jr.,2008-09,F,6-8,34,120,246,0.488,14,45,0.311,158,205,0.771,173,5.088,67,1.971,15,0.441,17,0.500,412,12.118,71
"Montgomery, Jon",So.,2008-09,G,6-4,6,3,12,0.250,0,8,0.000,1,3,0.333,12,2.000,1,0.167,0,-,1,0.167,7,1.167,1
"Moran, Johnny",Fr.,2008-09,G,6-1,34,96,253,0.379,50,152,0.329,44,59,0.746,133,3.912,78,2.294,4,0.118,41,1.206,286,8.412,58
"O'Rear, Lucas",So.,2008-09,F,6-6,30,56,91,0.615,3,9,0.333,41,56,0.732,164,5.467,36,1.200,14,0.467,25,0.833,156,5.200,28
"Pehl, Austin",Fr.,2008-09,F,6-10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Reed, Carlton",Sr.,2008-09,G,6-4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Rodenberg, Adam",Jr.,2008-09,F,6-6,22,12,25,0.480,0,1,0.000,6,17,0.353,24,1.091,1,0.045,1,0.045,4,0.182,30,1.364,17
