name,school_year,year,position,height,G,field_goals_made,field_goal_attempts,field_goal_percent,three_pointers_made,three_pointer_attempts,three_pointer_percent,free_throws_made,free_throws_attempts,free_throw_percent,rebounds,rebounds_average,assists,assists_average,blocks,blocks_average,steals,steals_average,points,points_average,turnovers
"Cooks, Dominique",Fr.,2008-09,G,6-3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Formisano, Matt",So.,2008-09,F,6-8,34,49,102,0.480,0,1,0.000,12,19,0.632,74,2.176,12,0.353,2,0.059,4,0.118,110,3.235,23
"Geiger, Deremy",Fr.,2008-09,G,5-10,18,13,29,0.448,6,17,0.353,6,8,0.750,13,0.722,18,1.000,0,-,4,0.222,38,2.111,11
"Halford, Skyler",Fr.,2008-09,G,6-1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Jardine, Brady",Fr.,2008-09,F,6-7,22,14,41,0.341,0,0,-,12,25,0.480,63,2.864,8,0.364,11,0.500,4,0.182,40,1.818,15
"Lee, Clint",Jr.,2008-09,F,6-5,9,1,2,0.500,0,0,-,1,4,0.250,5,0.556,1,0.111,0,-,0,-,3,0.333,1
"Myaer, Jaxon",Fr.,2008-09,G,5-9,32,40,90,0.444,23,59,0.390,13,17,0.765,22,0.688,33,1.031,1,0.031,5,0.156,116,3.625,38
"Newbold, Tyler",So.,2008-09,G,6-4,35,103,239,0.431,60,152,0.395,48,63,0.762,146,4.171,111,3.171,11,0.314,14,0.400,314,8.971,28
"Niang, Modou",So.,2008-09,C,6-10,8,8,12,0.667,0,0,-,5,11,0.455,21,2.625,4,0.500,4,0.500,0,-,21,2.625,11
"Quayle, Jared",Jr.,2008-09,G,6-1,35,152,327,0.465,59,152,0.388,94,123,0.764,209,5.971,131,3.743,5,0.143,50,1.429,457,13.057,64
"Sirju, Richard",Jr.,2008-09,G,6-2,3,2,7,0.286,1,2,0.500,0,0,-,3,1.000,0,-,0,-,0,-,5,1.667,0
"Wesley, Tai",So.,2008-09,F,6-7,35,158,267,0.592,1,1,1.000,104,152,0.684,211,6.029,93,2.657,29,0.829,40,1.143,421,12.029,73
"Wilkinson, Gary",Sr.,2008-09,F,6-9,35,213,367,0.580,6,19,0.316,166,201,0.826,238,6.800,44,1.257,13,0.371,16,0.457,598,17.086,54
"Williams, Pooh",So.,2008-09,G,6-3,35,78,168,0.464,20,52,0.385,32,47,0.681,67,1.914,65,1.857,8,0.229,15,0.429,208,5.943,39
"Williams, Stavon",Jr.,2008-09,G,6-3,34,68,162,0.420,46,108,0.426,21,25,0.840,42,1.235,46,1.353,4,0.118,16,0.471,203,5.971,28
