name,school_year,year,position,height,G,field_goals_made,field_goal_attempts,field_goal_percent,three_pointers_made,three_pointer_attempts,three_pointer_percent,free_throws_made,free_throws_attempts,free_throw_percent,rebounds,rebounds_average,assists,assists_average,blocks,blocks_average,steals,steals_average,points,points_average,turnovers
"Anderson, Dwayne",Sr.,2008-09,G,6-6,31,99,223,0.444,31,101,0.307,49,58,0.845,191,6.161,43,1.387,14,0.452,50,1.613,278,8.968,44
"Clark, Shane",Sr.,2008-09,F,6-7,36,74,152,0.487,15,40,0.375,39,61,0.639,139,3.861,33,0.917,10,0.278,18,0.500,202,5.611,30
"Colenda, Jason",Jr.,2008-09,G,6-0,21,0,1,0.000,0,0,-,2,2,1.000,4,0.190,1,0.048,0,-,0,-,2,0.095,1
"Cunningham, Dante",Sr.,2008-09,F,6-8,38,244,465,0.525,0,2,0.000,124,178,0.697,284,7.474,47,1.237,47,1.237,47,1.237,612,16.105,82
"Drummond, Casiem",Jr.,2008-09,C,6-10,2,1,1,1.000,0,0,-,2,2,1.000,5,2.500,0,-,1,0.500,0,-,4,2.000,1
"Fisher, Corey",So.,2008-09,G,6-1,38,127,296,0.429,30,94,0.319,126,162,0.778,89,2.342,107,2.816,2,0.053,47,1.237,410,10.789,76
"King, Taylor",So.,2008-09,F,6-6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Pena, Antonio",So.,2008-09,F,6-8,37,64,133,0.481,0,1,0.000,61,89,0.685,154,4.162,38,1.027,19,0.514,10,0.270,189,5.108,47
"Redding, Reggie",Jr.,2008-09,G,6-5,38,96,217,0.442,20,66,0.303,59,83,0.711,188,4.947,116,3.053,20,0.526,43,1.132,271,7.132,72
"Reynolds, Scottie",Jr.,2008-09,G,6-2,38,168,420,0.400,75,215,0.349,167,205,0.815,109,2.868,128,3.368,4,0.105,59,1.553,578,15.211,100
"Stokes, Corey",So.,2008-09,G,6-5,38,110,268,0.410,76,182,0.418,56,66,0.848,129,3.395,37,0.974,10,0.263,26,0.684,352,9.263,40
"Sutton, Maurice",Fr.,2008-09,F,6-11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Tchuisi, Frank",Sr.,2008-09,F,6-8,23,7,17,0.412,0,0,-,7,13,0.538,16,0.696,1,0.043,1,0.043,0,-,21,0.913,4
"Wooten, Russell",Jr.,2008-09,F,6-4,14,0,0,-,0,0,-,0,0,-,2,0.143,0,-,0,-,0,-,0,-,0
