name,school_year,year,position,height,G,field_goals_made,field_goal_attempts,field_goal_percent,three_pointers_made,three_pointer_attempts,three_pointer_percent,free_throws_made,free_throws_attempts,free_throw_percent,rebounds,rebounds_average,assists,assists_average,blocks,blocks_average,steals,steals_average,points,points_average,turnovers
"Berggren, Jared",Fr.,2008-09,C,6-10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Bohannon, Jason",Jr.,2008-09,G,6-2,33,104,273,0.381,64,175,0.366,68,84,0.810,101,3.061,55,1.667,4,0.121,14,0.424,340,10.303,29
"Cain, Morris",Sr.,2008-09,G,6-5,8,3,3,1.000,0,0,-,2,2,1.000,2,0.250,0,-,0,-,0,-,8,1.000,1
"Evans, Ryan",Fr.,2008-09,F,6-6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Gavinski, J.P.",So.,2008-09,C,6-11,4,0,0,-,0,0,-,2,2,1.000,3,0.750,0,-,1,0.250,0,-,2,0.500,0
"Gullikson, Kevin",Sr.,2008-09,F,6-7,25,11,26,0.423,0,0,-,2,11,0.182,28,1.120,15,0.600,1,0.040,1,0.040,24,0.960,5
"Hughes, Trevon",Jr.,2008-09,G,6-1,33,121,317,0.382,52,145,0.359,105,137,0.766,105,3.182,94,2.848,1,0.030,49,1.485,399,12.091,62
"Jarmusz, Tim",So.,2008-09,F,6-6,33,34,71,0.479,21,50,0.420,24,32,0.750,72,2.182,13,0.394,1,0.030,3,0.091,113,3.424,17
"Krabbenhoft, Joe",Sr.,2008-09,F,6-7,33,96,200,0.480,12,33,0.364,66,78,0.846,220,6.667,81,2.455,16,0.485,30,0.909,270,8.182,50
"Landry, Marcus",Sr.,2008-09,F,6-7,33,166,331,0.502,29,79,0.367,57,91,0.626,151,4.576,51,1.545,35,1.061,25,0.758,418,12.667,54
"Leuer, Jon",So.,2008-09,F,6-10,33,115,247,0.466,16,54,0.296,46,76,0.605,126,3.818,28,0.848,20,0.606,17,0.515,292,8.848,44
"Markolf, Ian",Fr.,2008-09,C,7-0,4,1,1,1.000,0,0,-,0,0,-,0,-,2,0.500,0,-,0,-,2,0.500,0
"Nankivil, Keaton",So.,2008-09,F,6-9,31,53,110,0.482,9,14,0.643,23,28,0.821,76,2.452,10,0.323,5,0.161,10,0.323,138,4.452,16
"Smith, Wquinton",So.,2008-09,G,5-10,8,1,2,0.500,0,0,-,0,0,-,0,-,1,0.125,0,-,0,-,2,0.250,2
"Taylor, Jordan",Fr.,2008-09,G,6-1,33,19,73,0.260,5,26,0.192,10,17,0.588,31,0.939,38,1.152,0,-,10,0.303,53,1.606,17
"Valentyn, Brett",So.,2008-09,G,6-4,8,1,2,0.500,1,2,0.500,0,0,-,2,0.250,1,0.125,0,-,0,-,3,0.375,1
"Wilson, Robert",Fr.,2008-09,G,6-4,28,10,30,0.333,4,14,0.286,18,25,0.720,18,0.643,4,0.143,2,0.071,4,0.143,42,1.500,17
