Samford,11/14/2008,78,60,Home,,-,"3,069"
Austin Peay,11/17/2008,84,86,Home,,-,"1,620"
Pittsburgh,11/25/2008,60,74,Away,,-,"9,595"
Tennessee St.,12/01/2008,91,63,Away,,-,"1,478"
Jacksonville,12/04/2008,64,65,Away,,-,"4,263"
North Florida,12/06/2008,89,55,Away,,-,434
Middle Tenn.,12/17/2008,82,69,Home,,-,"1,663"
Tennessee,12/20/2008,77,79,Away,,-,"21,314"
Austin Peay,12/22/2008,72,62,Away,,-,"3,786"
Santa Clara,12/29/2008,80,83,Away,,-,"1,840"
James Madison,12/30/2008,64,81,Neutral,"Santa Clara, CA",-,"1,833"
Stetson,01/03/2009,82,57,Home,,-,"1,328"
Fla. Gulf Coast,01/05/2009,79,67,Home,,-,"1,025"
Campbell,01/10/2009,87,54,Home,,-,"1,165"
Lipscomb,01/12/2009,79,74,Home,,-,"4,026"
S.C. Upstate,01/17/2009,73,69,Away,,-,811
East Tenn. St.,01/19/2009,57,87,Away,,-,"4,196"
Kennesaw St.,01/24/2009,75,66,Home,,-,"2,013"
Mercer,01/26/2009,86,82,Home,,1 OT,"1,035"
Fla. Gulf Coast,01/31/2009,92,74,Away,,-,"1,282"
Stetson,02/02/2009,71,82,Away,,-,"1,257"
Campbell,02/06/2009,87,84,Away,,-,"1,944"
Lipscomb,02/12/2009,68,73,Away,,-,"4,778"
East Tenn. St.,02/14/2009,76,73,Home,,-,"1,802"
S.C. Upstate,02/16/2009,76,56,Home,,-,"1,040"
Kennesaw St.,02/20/2009,54,39,Away,,-,"1,422"
Mercer,02/22/2009,83,89,Away,,-,"1,457"
North Florida,02/26/2009,87,49,Home,,-,"1,302"
Jacksonville,02/28/2009,82,84,Home,,1 OT,"3,048"
Mercer,03/05/2009,65,64,Neutral,"Nashville, TN",-,"1,352"
East Tenn. St.,03/06/2009,74,88,Neutral,"Nashville, TN",-,"3,400"
Evansville,03/18/2009,92,76,Away,,-,"3,119"
Old Dominion,03/23/2009,62,70,Away,,-,"2,137"
