Iowa,11/14/2008,48,68,Away,,-,"9,070"
Furman,11/17/2008,75,64,Home,,-,846
Col. of Charleston,11/20/2008,83,93,Home,North Carleston Coliseum,-,"2,835"
Toccoa Falls,11/22/2008,107,78,Home,,-,765
Citadel,11/25/2008,80,84,Home,,-,"2,085"
North Florida,11/28/2008,68,60,Home,,1 OT,467
High Point,12/01/2008,62,52,Away,,-,692
Covenant,12/13/2008,101,49,Home,,-,319
Cincinnati,12/15/2008,55,74,Away,,-,"5,832"
Florida St.,12/18/2008,48,71,Away,,-,"4,635"
Virginia Tech,12/29/2008,66,75,Home,,-,"3,315"
UNC Asheville,01/03/2009,65,76,Home,,-,657
VMI,01/05/2009,90,93,Home,,-,684
Liberty,01/10/2009,60,79,Away,,-,"3,047"
Radford,01/12/2009,53,82,Away,,-,575
Presbyterian,01/17/2009,54,63,Away,,-,701
Winthrop,01/20/2009,63,65,Home,,-,883
Gardner-Webb,01/24/2009,70,86,Home,,-,821
Morris,01/27/2009,95,73,Home,,-,721
Coastal Caro.,01/31/2009,71,69,Away,,-,"1,021"
High Point,02/02/2009,57,64,Home,,-,789
UNC Asheville,02/07/2009,71,80,Away,,-,"1,006"
VMI,02/09/2009,76,82,Away,,-,"2,137"
Liberty,02/14/2009,80,95,Home,,-,859
Radford,02/16/2009,71,80,Home,,-,571
Presbyterian,02/21/2009,57,52,Home,,-,855
Winthrop,02/24/2009,52,57,Away,,-,"2,104"
Coastal Caro.,02/26/2009,63,59,Home,,-,813
Gardner-Webb,02/28/2009,59,68,Away,,-,"2,790"
