Oakland,11/15/2008,58,55,Home,,-,"2,078"
Washington,11/18/2008,63,78,Away,,-,"7,316"
Kansas St.,11/22/2008,59,69,Home,,-,"2,827"
Saint Leo,11/24/2008,72,62,Neutral,"Miami, FL",-,100
Toledo,11/25/2008,77,56,Neutral,"Miami, FL",-,345
FIU,11/26/2008,66,58,Away,,-,709
Valparaiso,12/02/2008,66,42,Home,,-,"1,574"
Butler,12/04/2008,48,50,Home,,-,"2,604"
West Virginia,12/06/2008,43,53,Away,,-,"8,765"
Marist,12/13/2008,66,47,Away,,-,"2,023"
Syracuse,12/15/2008,72,69,Away,,-,"15,416"
La Roche,12/20/2008,72,46,Home,,-,"1,575"
Kent St.,12/23/2008,67,41,Home,,-,"4,051"
Notre Dame (OH),12/27/2008,91,40,Home,,-,"1,169"
Wright St.,12/30/2008,62,71,Away,,-,"5,394"
Detroit,01/03/2009,53,44,Away,,-,"1,827"
Loyola Chicago,01/08/2009,76,50,Home,,-,"1,623"
Ill.-Chicago,01/10/2009,79,69,Home,,-,"1,617"
Green Bay,01/15/2009,65,80,Away,,-,"5,141"
Milwaukee,01/17/2009,75,77,Away,,-,"3,625"
Youngstown St.,01/23/2009,60,64,Away,,-,"6,249"
Detroit,01/29/2009,66,49,Home,,-,"1,752"
Wright St.,01/31/2009,59,50,Home,,-,"3,590"
Ill.-Chicago,02/05/2009,66,63,Away,,-,"3,305"
Loyola Chicago,02/07/2009,83,70,Away,,-,"2,336"
Milwaukee,02/12/2009,70,61,Home,,-,"2,587"
Green Bay,02/14/2009,83,75,Home,,-,"4,235"
Youngstown St.,02/18/2009,58,54,Home,,-,"2,648"
Wichita St.,02/21/2009,59,70,Away,,-,"10,443"
Valparaiso,02/26/2009,71,64,Away,,-,"2,385"
Butler,02/28/2009,56,58,Away,,-,"8,549"
Detroit,03/03/2009,56,43,Home,,-,"1,988"
Ill.-Chicago,03/06/2009,67,64,Neutral,"Indianapolis, IN",-,"1,014"
Green Bay,03/07/2009,73,67,Neutral,"Indianapolis, IN",-,"6,477"
Butler,03/10/2009,57,54,Away,,-,"5,107"
Wake Forest,03/20/2009,84,69,Neutral,"Miami, FL",-,"8,990"
Arizona,03/22/2009,57,71,Neutral,"Miami, FL",-,"10,204"
