Ball St.,11/15/2008,59,72,Away,,-,"3,874"
Manchester,11/19/2008,82,53,Home,,-,620
IPFW,11/22/2008,77,81,Away,,1 OT,"2,065"
IUPUI,11/25/2008,60,67,Away,,-,"2,447"
IPFW,11/29/2008,74,76,Home,,-,702
Tennessee St.,12/04/2008,71,61,Home,,-,"1,322"
Austin Peay,12/06/2008,73,81,Home,,-,803
Evansville,12/10/2008,76,80,Away,,-,"4,486"
Western Ill.,12/13/2008,63,56,Home,,-,"1,193"
Chicago St.,12/22/2008,64,77,Home,,-,654
Bowling Green,12/28/2008,60,78,Away,,-,"1,360"
Missouri Valley,12/31/2008,80,51,Home,,-,389
Jacksonville St.,01/03/2009,78,69,Away,,-,"3,103"
Tennessee Tech,01/05/2009,60,67,Away,,-,"1,204"
Southeast Mo. St.,01/10/2009,83,63,Away,,-,"3,022"
Eastern Ky.,01/15/2009,58,48,Home,,-,"1,019"
Morehead St.,01/17/2009,67,61,Home,,-,968
Murray St.,01/22/2009,46,58,Away,,-,"3,567"
UT Martin,01/24/2009,51,65,Away,,-,"4,231"
Tennessee Tech,01/29/2009,75,58,Home,,-,"1,178"
Jacksonville St.,01/31/2009,63,60,Home,,-,"1,004"
Southeast Mo. St.,02/07/2009,70,62,Home,,-,"1,696"
Murray St.,02/09/2009,53,59,Home,,-,851
Morehead St.,02/12/2009,48,64,Away,,-,"2,025"
Eastern Ky.,02/14/2009,55,73,Away,,-,"1,700"
UT Martin,02/18/2009,60,76,Home,,-,"1,773"
Western Mich.,02/21/2009,59,57,Away,,-,"2,894"
Austin Peay,02/26/2009,54,69,Away,,-,"2,786"
Tennessee St.,02/28/2009,63,83,Away,,-,"1,317"
Austin Peay,03/03/2009,54,57,Away,,-,"3,186"
