Marygrove,11/14/2008,119,48,Home,,-,"2,156"
Purdue,11/17/2008,58,87,Away,,-,"13,356"
Georgia,11/18/2008,60,61,Neutral,"Lafayette, IN",-,"13,343"
Detroit,11/22/2008,47,62,Away,,-,"2,638"
St. John's (NY),11/24/2008,61,73,Away,,-,893
Cornell,11/25/2008,54,67,Neutral,"Jamaica, NY",-,959
Brown,11/29/2008,51,53,Away,,-,633
Wayne St. (MI),12/08/2008,67,47,Home,,-,590
Michigan,12/13/2008,60,91,Away,,-,"9,768"
St. Bonaventure,12/20/2008,78,86,Home,,-,803
Oakland,12/22/2008,53,66,Home,,-,389
Illinois,12/28/2008,53,62,Away,,-,"16,288"
Chicago St.,01/03/2009,61,79,Away,,-,538
Temple,01/07/2009,45,67,Home,,-,493
Ball St.,01/10/2009,42,46,Home,,-,843
Central Mich.,01/13/2009,84,77,Home,,2 OT,865
Toledo,01/17/2009,57,69,Away,,-,"6,084"
Northern Ill.,01/20/2009,52,72,Away,,-,"1,293"
Western Mich.,01/24/2009,45,53,Home,,-,"1,663"
Kent St.,01/27/2009,46,68,Away,,-,"2,447"
Miami (OH),01/31/2009,51,66,Home,,-,"1,285"
Akron,02/03/2009,41,78,Home,,-,313
Ohio,02/07/2009,45,57,Away,,-,"5,735"
Buffalo,02/12/2009,49,58,Home,,-,467
Bowling Green,02/15/2009,65,57,Away,,-,"2,120"
Western Mich.,02/18/2009,38,46,Away,,-,"3,122"
Georgia St.,02/21/2009,58,63,Home,,-,583
Toledo,02/25/2009,58,49,Home,,-,446
Central Mich.,02/28/2009,57,56,Away,,-,"1,309"
Northern Ill.,03/04/2009,75,61,Home,,-,724
Ball St.,03/08/2009,55,53,Away,,1 OT,"3,687"
Central Mich.,03/10/2009,49,62,Neutral,"Cleveland, OH",-,"5,637"
