Pittsburgh,11/14/2008,63,86,Away,,-,"10,043"
Washington St.,11/18/2008,33,55,Away,,-,"6,159"
Mississippi St.,11/22/2008,58,84,Away,"Starkville, MS",-,"9,028"
Eastern Ky.,11/28/2008,47,83,Home,,-,723
Akron,11/30/2008,41,85,Home,,-,361
Sacred Heart,12/06/2008,86,96,Away,,-,864
Monmouth,12/08/2008,71,67,Away,,-,"1,810"
Army,12/13/2008,52,74,Away,,-,455
Saint Peter's,12/23/2008,61,69,Away,,-,537
Seton Hall,12/27/2008,70,101,Away,,-,"7,022"
Rhode Island,12/30/2008,80,95,Home,,-,762
Quinnipiac,01/03/2009,72,68,Home,,-,628
Wagner,01/05/2009,69,78,Home,,-,579
Mt. St. Mary's,01/08/2009,62,81,Away,,-,688
Central Conn. St.,01/10/2009,78,91,Home,,-,134
Bryant,01/17/2009,43,56,Away,,-,461
Monmouth,01/19/2009,64,55,Home,,-,312
Saint Francis (PA),01/22/2009,69,56,Home,,-,368
Robert Morris,01/24/2009,40,74,Home,,-,364
LIU Brooklyn,01/29/2009,88,91,Away,,2 OT,985
St. Francis (NY),01/31/2009,62,73,Home,,-,658
Lafayette,02/02/2009,71,68,Home,,-,307
Wagner,02/05/2009,59,57,Away,,1 OT,"1,174"
Mt. St. Mary's,02/07/2009,68,75,Home,,-,821
Central Conn. St.,02/12/2009,80,73,Away,,-,"1,786"
St. Francis (NY),02/14/2009,72,82,Away,,-,683
Quinnipiac,02/19/2009,62,78,Away,,-,"1,655"
Central Mich.,02/21/2009,62,68,Away,,-,917
LIU Brooklyn,02/26/2009,67,85,Home,,-,913
Saint Francis (PA),02/28/2009,59,78,Away,,-,"1,772"
