Jacksonville,11/17/2008,71,62,Home,,-,"10,253"
Drexel,11/22/2008,81,53,Home,,-,"11,434"
Wichita St.,11/27/2008,58,50,Neutral,"Lake Buena Vista, FL",-,"3,357"
Tennessee,11/28/2008,78,90,Neutral,"Lake Buena Vista, FL",-,"3,926"
Maryland,11/30/2008,75,48,Neutral,"Lake Buena Vista, FL",-,"3,914"
American,12/06/2008,73,49,Home,,-,"11,196"
Savannah St.,12/08/2008,100,38,Home,,-,"8,013"
Memphis,12/13/2008,79,70,Home,,1 OT,"15,238"
Mt. St. Mary's,12/20/2008,69,58,Home,,-,"10,364"
FIU,12/23/2008,76,38,Home,,-,"7,964"
Connecticut,12/29/2008,74,63,Away,,-,"16,294"
Pittsburgh,01/03/2009,54,70,Home,,-,"19,397"
Notre Dame,01/05/2009,67,73,Away,,-,"11,418"
Providence,01/10/2009,82,75,Home,,-,"12,764"
Syracuse,01/14/2009,88,74,Home,,-,"19,227"
Duke,01/17/2009,67,76,Away,,-,"9,314"
West Virginia,01/22/2009,58,75,Home,,-,"12,875"
Seton Hall,01/25/2009,60,65,Away,,-,"9,800"
Cincinnati,01/28/2009,57,65,Away,,-,"7,265"
Marquette,01/31/2009,82,94,Away,,-,"19,041"
Rutgers,02/03/2009,57,47,Home,,-,"8,473"
Cincinnati,02/07/2009,62,64,Home,,1 OT,"15,349"
Syracuse,02/14/2009,94,98,Away,,1 OT,"31,841"
South Fla.,02/18/2009,65,40,Away,,-,"7,015"
Marquette,02/21/2009,72,78,Home,,-,"17,686"
Louisville,02/23/2009,58,76,Home,,-,"12,653"
Villanova,02/28/2009,56,54,Away,,-,"20,378"
St. John's (NY),03/03/2009,56,59,Away,Madison Square Garden,1 OT,"9,959"
DePaul,03/07/2009,48,40,Home,,-,"12,338"
St. John's (NY),03/10/2009,59,64,Neutral,Madison Square Garden,-,"19,375"
Baylor,03/18/2009,72,74,Away,,-,"8,424"
