Bowling Green,11/14/2008,76,77,Neutral,"Minneapolis, MN",1 OT,"11,818"
Concordia-St. Paul,11/15/2008,67,63,Neutral,"Minneapolis, MN",-,"11,833"
Minnesota,11/16/2008,52,60,Away,,-,"11,882"
Southern Poly,11/19/2008,82,64,Home,,-,"1,256"
Jacksonville St.,11/22/2008,73,80,Home,,2 OT,"1,086"
Troy,11/25/2008,63,68,Away,,-,"1,492"
Hampton,12/03/2008,53,62,Home,,-,"1,457"
UNC Wilmington,12/06/2008,68,46,Away,,-,"3,920"
Florida St.,12/13/2008,57,62,Home,,-,"3,102"
Georgia Tech,12/17/2008,64,84,Away,,-,"6,835"
Coastal Caro.,12/20/2008,52,69,Home,,-,"1,121"
UTSA,12/27/2008,48,60,Away,,-,802
Old Dominion,01/03/2009,55,54,Home,,-,"1,102"
George Mason,01/05/2009,52,58,Away,,-,"3,841"
Northeastern,01/07/2009,54,68,Home,,-,"1,211"
Drexel,01/10/2009,50,53,Home,,-,"1,133"
Old Dominion,01/13/2009,56,73,Away,,-,"6,432"
Towson,01/17/2009,68,46,Home,,-,"1,612"
VCU,01/21/2009,50,65,Home,,-,"1,316"
Delaware,01/24/2009,48,60,Away,,-,"2,875"
Drexel,01/28/2009,47,64,Away,,-,"1,493"
William & Mary,01/31/2009,58,51,Away,,-,"2,241"
James Madison,02/04/2009,69,82,Home,,-,"1,457"
Delaware,02/07/2009,70,67,Home,,-,"1,611"
Towson,02/11/2009,72,82,Away,,1 OT,"1,219"
UNC Wilmington,02/14/2009,69,66,Home,,-,"2,062"
Northeastern,02/18/2009,70,68,Away,,-,"1,970"
Eastern Mich.,02/21/2009,63,58,Away,,-,583
Hofstra,02/25/2009,76,55,Home,,-,"1,394"
VCU,02/28/2009,41,69,Away,,-,"7,355"
Delaware,03/06/2009,54,41,Neutral,"Richmond, VA",-,"2,633"
VCU,03/07/2009,52,61,Neutral,"Richmond, VA",-,"7,387"
