LSU,11/15/2008,65,79,Away,,-,"11,511"
Texas A&M,11/21/2008,78,96,Away,,-,"7,866"
Illinois,11/23/2008,64,78,Away,,-,"13,865"
North Texas,11/26/2008,82,84,Away,,-,"2,768"
A&M-Corpus Christi,11/28/2008,63,73,Neutral,"South Padre Island, TX",-,150
N.C. Central,11/29/2008,69,49,Neutral,"South Padre Island, TX",-,237
Stephen F. Austin,12/02/2008,59,73,Away,,-,"4,533"
Arizona St.,12/04/2008,60,81,Away,,-,"7,640"
Kansas,12/06/2008,62,86,Away,,-,"16,300"
Providence,12/17/2008,71,85,Away,,-,"7,158"
Southeastern La.,12/20/2008,51,70,Away,,-,591
Baylor,12/31/2008,78,113,Away,,-,"5,092"
Alabama St.,01/03/2009,60,66,Away,,-,"1,695"
Alabama A&M,01/05/2009,62,53,Away,,-,552
Alcorn St.,01/10/2009,83,63,Home,,-,"2,801"
Southern U.,01/12/2009,83,74,Home,,-,"2,203"
Texas Southern,01/17/2009,76,63,Away,,-,971
Prairie View,01/19/2009,59,70,Away,,-,"2,411"
Grambling,01/24/2009,83,58,Away,,-,"2,711"
Mississippi Val.,01/31/2009,64,58,Home,,-,"4,136"
Ark.-Pine Bluff,02/02/2009,87,83,Home,,-,"1,203"
Alcorn St.,02/07/2009,81,65,Away,,-,"3,500"
Southern U.,02/09/2009,67,55,Away,,-,"1,698"
Texas Southern,02/14/2009,72,63,Home,,-,"2,478"
Prairie View,02/16/2009,62,61,Home,,-,"2,631"
Grambling,02/21/2009,84,80,Home,,1 OT,"1,325"
Mississippi Val.,02/28/2009,67,73,Away,,-,"4,719"
Ark.-Pine Bluff,03/02/2009,75,66,Away,,-,"3,108"
Alabama St.,03/05/2009,67,64,Home,,-,"2,703"
Alabama A&M,03/07/2009,77,63,Home,,-,"2,011"
Texas Southern,03/11/2009,72,65,Neutral,"Birmingham, AL",-,449
Prairie View,03/13/2009,66,53,Neutral,"Birmingham, AL",-,525
Alabama St.,03/14/2009,58,65,Neutral,"Birmingham, AL",-,"2,673"
