La.-Monroe,11/14/2008,54,56,Away,,-,673
Vanderbilt,11/16/2008,48,74,Away,,-,"12,562"
Drake,11/19/2008,70,86,Away,,-,"4,113"
Louisville,11/22/2008,41,79,Away,,-,"19,493"
Florida A&M,11/23/2008,74,79,Neutral,"Louisville, KY",-,"19,241"
Grambling,11/29/2008,71,72,Neutral,"Cancun, MX",-,232
UCF,11/30/2008,71,65,Neutral,"Cancun, MX",-,192
UT Martin,12/04/2008,80,71,Home,,-,"2,899"
Murray St.,12/06/2008,79,74,Home,,-,"1,865"
Illinois St.,12/14/2008,70,76,Away,,-,"5,029"
James Madison,12/18/2008,62,74,Home,,-,"4,004"
Ky. Christian,12/22/2008,99,39,Home,,-,"1,014"
East Tenn. St.,12/30/2008,71,61,Away,,-,"3,138"
Austin Peay,01/03/2009,84,74,Away,,-,"3,679"
Tennessee St.,01/05/2009,64,71,Away,,-,"1,523"
Tennessee Tech,01/08/2009,64,62,Home,,-,"1,719"
Jacksonville St.,01/10/2009,76,61,Home,,-,"1,643"
Southeast Mo. St.,01/15/2009,73,67,Away,,-,"2,348"
Eastern Ill.,01/17/2009,61,67,Away,,-,968
Concord,01/19/2009,81,57,Home,,-,"2,364"
Eastern Ky.,01/24/2009,68,64,Home,,-,"5,350"
Tennessee St.,01/29/2009,94,73,Home,,-,"4,075"
Austin Peay,01/31/2009,81,63,Home,,-,"4,115"
Jacksonville St.,02/05/2009,52,57,Away,,-,"3,298"
Tennessee Tech,02/07/2009,72,64,Away,,-,"1,569"
Eastern Ill.,02/12/2009,64,48,Home,,-,"2,025"
Southeast Mo. St.,02/14/2009,79,67,Home,,-,"2,252"
Eastern Ky.,02/18/2009,70,74,Away,,-,"3,800"
Kent St.,02/21/2009,76,79,Away,,-,"4,413"
Murray St.,02/26/2009,64,69,Away,,-,"3,195"
UT Martin,02/28/2009,65,79,Away,,-,"4,826"
Eastern Ky.,03/03/2009,91,72,Home,,-,"2,034"
UT Martin,03/06/2009,63,55,Neutral,"Nashville, TN",-,"3,040"
Austin Peay,03/07/2009,67,65,Neutral,"Nashville, TN",2 OT,"1,858"
Alabama St.,03/17/2009,58,43,Neutral,"Dayton, OH",-,"11,346"
Louisville,03/20/2009,54,74,Neutral,"Dayton, OH",-,"12,596"
