Montana St.,11/15/2008,72,63,Away,,-,"3,836"
San Diego,11/18/2008,51,65,Away,,-,"3,355"
Oregon St.,11/22/2008,79,71,Home,,-,"7,629"
Pacific,11/26/2008,59,67,Home,,-,"6,636"
Portland,11/29/2008,61,63,Away,,-,"1,358"
Colorado St.,12/02/2008,82,76,Away,,-,"2,556"
UNLV,12/06/2008,57,64,Home,,-,"9,498"
Sonoma St.,12/09/2008,95,39,Home,,-,"5,918"
Southern Ill.,12/14/2008,62,48,Home,,-,"5,845"
Ark.-Pine Bluff,12/17/2008,87,58,Home,,-,"5,466"
California,12/20/2008,66,75,Away,,-,"9,670"
Idaho St.,12/27/2008,68,63,Home,,-,"5,938"
North Carolina,12/31/2008,61,84,Home,,-,"10,526"
Idaho,01/03/2009,73,78,Home,,-,"6,064"
New Mexico St.,01/08/2009,79,71,Away,,1 OT,"6,314"
Louisiana Tech,01/10/2009,67,64,Away,,-,"1,658"
Boise St.,01/15/2009,77,63,Home,,-,"7,225"
Fresno St.,01/17/2009,65,60,Home,,-,"7,449"
Hawaii,01/22/2009,74,63,Home,,-,"7,247"
Utah St.,01/29/2009,61,72,Away,,-,"10,023"
Idaho,01/31/2009,69,65,Away,,-,"2,806"
Louisiana Tech,02/05/2009,75,78,Home,,-,"6,598"
New Mexico St.,02/07/2009,60,62,Home,,-,"6,786"
San Jose St.,02/12/2009,80,68,Away,,-,"1,622"
Hawaii,02/14/2009,47,46,Away,,-,"6,418"
VCU,02/20/2009,71,70,Home,,-,"6,205"
Fresno St.,02/26/2009,66,68,Away,,-,"8,619"
Utah St.,02/28/2009,84,71,Home,,-,"8,515"
San Jose St.,03/05/2009,89,66,Home,,-,"7,147"
Boise St.,03/07/2009,69,60,Away,,-,"6,569"
San Jose St.,03/12/2009,78,69,Home,,-,"7,084"
Louisiana Tech,03/13/2009,77,68,Home,,-,"7,397"
Utah St.,03/14/2009,62,72,Home,,-,"7,820"
UTEP,03/17/2009,77,79,Home,,-,"3,029"
